# =================================================
# Errors
# =================================================

error                                  Error
error_incompatible                     Darwinia: Vista Edition is only compatible with Windows Vista.\nPlease visit http://www.darwinia.co.uk for a compatible version of Darwinia.\nWould you like to visit http://www.darwinia.co.uk now?
error_parental                         Current Parental Control Settings will not allow Darwinia: Vista Edition to be played
darwinia_vistaedition                  Darwinia: Vista Edition

# =================================================
# About Darwinia
# =================================================

about_darwinia                         About Darwinia

# ================================================
# Game controller actions
# ================================================

gc_select                              Select
gc_destroy                             Destroy
gc_create                              Create
gc_close                               Close
gc_deselect                            Deselect
gc_place                               Place
gc_promote                             Promote
gc_move                                Move
gc_aim                                 Look
gc_fire                                Fire
gc_grenade                             Grenade
gc_rocket                              Rocket
gc_airstrike                           Airstrike
gc_changeweapon                        Change Weapon
gc_changeorders                        Change Orders
gc_cameraup                            Up
gc_cameradown                          Down
gc_setgoto                             Set Goto
gc_setturret                           Set Turret
gc_prev                                Prev
gc_next                                Next
gc_rotateleft                          Rotate Left
gc_rotateright                         Rotate Right
gc_zoom                                Zoom
gc_radaraim                            Aim
gc_skip                                Skip
gc_setfollow                           Set Follow


# ================================================
# Key names
# ================================================

control_alt                            ALT
control_asterisk                       *
control_at                             @
control_backslash                      \
control_backspace                      BACKSPACE
control_capslock                       CAPSLOCK
control_comma                          COMMA
control_control                        CTRL
control_del                            Del
control_end                            End
control_enter                          Enter
control_equals                         =
control_esc                            Esc
control_home                           Home
control_insert                         Ins
control_minus                          -
control_pause                          PAUSE
control_pgdn                           PGDN
control_pgup                           PGUP
control_quote                          QUOTE
control_shift                          Shift
control_slash                          /
control_space                          Space
control_stop                           .
control_tab                            TAB
control_tilde                          ~

control_left                           Left
control_right                          Right
control_up                             Up
control_down                           Down

control_plus_pad                       NUM_+
control_minus_pad                      NUM_-
control_del_pad                        NUM_DEL
control_slash_pad                      NUM_/

control_numlock                        NUMLOCK
control_scrlock                        SCRLOCK

control_openbrace                      {
control_closebrace                     }

# =================================================
# CONTROL EVENTS
# Used in "Main Menu -> Options -> Control Options"
# =================================================

control_event_left                     Left
control_event_right                    Right
control_event_forwards                 Forwards
control_event_backwards                Backwards
control_event_up                       Up
control_event_down                     Down
control_event_zoom                     Zoom
control_event_deselect                 Deselect
control_event_chatlog                  Chat Log
control_event_skipmessage              Skip Message
control_event_iconstaskmanagerdisplay  Display Task Manager
control_event_iconstaskmanagerendtask  End Task
control_event_iconschatlog             Chat Log
control_event_unitmove                 Unit Move
control_event_unitprimaryfire          Unit Primary Fire
control_event_unitsecondaryfire        Unit Secondary Fire
control_event_taskmanagerdisplay       Display Task Manager
control_event_taskmanagerswitchtask    Switch Task
control_event_taskmanagerendtask       End Task


# =================================================
# 360 Control Help
# =================================================

control_help_move                      Move Unit
control_help_lasers                    Fire Lasers
control_help_cameramove                Move Camera
control_help_cameraturn                Turn Camera
control_help_directmovecam             Move Camera
control_help_cameraup                  Cam Up (Press)
control_help_cameradown                Cam Down (Press)
control_help_quickunitstart            Open TaskManager
control_help_quickunitcreate           Create Unit
control_help_quickunitplace            Place Unit
control_help_endtask                   Close Task
control_help_radar                     Aim Radar
control_help_fireturret                Fire Guns
control_help_deselect                  Deselect Unit
control_help_confirm                   Confirm / Select
control_help_next                      Next Unit
control_help_previous                  Previous Unit
control_help_secondaryaim              Aim (Hold)
control_help_secondaryfire             Fire
control_help_changesecondary           Change Weapon
control_help_officergoto               Set Goto
control_help_officermode               Change Mode
control_help_armourturret              Drop Gunturret
control_help_armourmode                Pick Up/Drop Mode


#- ================================================
#- Common verb phrases
#- ================================================

#- Note that any entry with a name beginning "part_" is never used directly by the program,
#- just by other strings, and may be safely excluded where they are not used. If you add your
#- own entries which are only included within others, then please keep to this naming
#- convention, so that this is clear.

# ================================================
# Help strings
# ================================================

help_camera_movement_kbd               Move the camera around using the [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] and [KEYCAMERARIGHT] keys.  You can control the camera's height by scrolling the mouse wheel, or by using the [KEYCAMERAUP] and [KEYCAMERADOWN] keys.
help_camera_movement_xin               Move the camera around.
help_camera_height_kbd                 If you have a middle mouse button, you can scroll it to change the height of the camera.  Or you can use the [KEYCAMERAUP] and [KEYCAMERADOWN] keys to go up and down.
help_camera_zoom_kbd                   If you have a middle mouse button, click it to zoom the camera.  Or you can press the [KEYCAMERAZOOM] key.
help_camera_movefast_kbd               You can make the camera move faster by holding down [KEYCAMERASPEEDUP] while you are moving.
help_taskmanager_1_kbd                 To create things in Darwinia you draw gestures in the Task Manager.  Hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager.
help_taskmanager_2_kbd                 To see a list of available gestures, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager and scroll left by moving the mouse to the left of the screen, or by pressing [KEYMENULEFT].
help_taskmanager_3_kbd                 You can only run up to THREE tasks at once.  You can shut down existing tasks by holding down [KEYGESTURESTASKMANAGERDISPLAY], tabbing along to the task, and pressing CTRL-C.
help_taskmanager_3_xin                 You can only run up to THREE tasks at once.  You can shut down existing tasks.
help_taskmanager_4_kbd                 To reselect an existing task, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager and tab along to the icon representing the task.
help_showchatlog_kbd                   To read a log of everything I've said, hold the [KEYGESTURESCHATLOG] key.
help_taskmanager_1_icons_kbd           To create things in Darwinia you need to bring up the Task Manager.  Hold [KEYICONSTASKMANAGERDISPLAY] to access the Task Manager.
help_taskmanager_1_icons_xin           To create things in Darwinia you need to bring up the Task Manager.
help_taskmanager_2_icons_kbd           You can see a list of available programs while holding [KEYICONSTASKMANAGERDISPLAY].  Click any of them to create a new program.
help_taskmanager_3_icons_kbd           You can only run up to THREE tasks at once.  You can shut down the current task by pressing [KEYICONSTASKMANAGERENDTASK], or you can click on its delete icon in the Task Manager.
help_taskmanager_3_icons_xin           You can only run up to THREE tasks at once.
help_taskmanager_4_icons_kbd           To reselect an existing task, hold [KEYICONSTASKMANAGERDISPLAY] and click on its icon.  Or you can press the number keys to select tasks.
help_showchatlog_icons_kbd             To read a log of everything I've said, hold the [KEYICONSCHATLOG] key.

help_deselect_kbd                      To deselect the current object press [KEYUNITDESELECT]
help_squad_summon_1_kbd                To create a Squad, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, then draw this gesture.
help_squad_summon_1_icons_kbd          To create a Squad, hold [KEYICONSTASKMANAGERDISPLAY] to access the Task Manager, then click the Squad icon.
help_squad_summon_2_kbd                Click inside one of the starting areas, now highlighted, to create your squad within the world.
help_squad_summon_2_xin                Select one of the starting areas, now highlighted, to create your squad within the world.
help_squad_use_kbd                     Left Click to move your squad.  Right Click to fire their lasers.  Press [KEYUNITDESELECT] to deselect them. Squads cannot move into the water.
help_squad_use_1mb_kbd                 Click to move your squad.  Click and hold to fire their lasers.  Press [KEYUNITDESELECT] to deselect them.
help_squad_grenade_kbd                 You can throw a grenade by tapping the Left Mouse Button whilst you are firing lasers with the Right mouse button.
help_squad_grenade_1mb_kbd             You can throw a grenade by shift clicking.
help_squad_setgrenade                  To change to the Grenade weapon, draw the Grenade gesture.
help_squad_setrocket                   To change to the Rocket weapon, draw the Rocket gesture.
help_squad_setairstrike                To change to the Airstrike weapon, draw the Airstrike gesture.
help_squad_setgrenade_icons_kbd        To change to the Grenade weapon, hold [KEYICONSTASKMANAGERDISPLAY] and click on the Grenade icon next to your Squad.
help_squad_setgrenade_icons_xin        To change to the Grenade weapon, open the Task Manager and select the Grenade icon next to your Squad.
help_squad_setrocket_icons_kbd         To change to the Rocket weapon, hold [KEYICONSTASKMANAGERDISPLAY] and click on the Rocket icon next to your Squad.
help_squad_setrocket_icons_xin         To change to the Rocket weapon, open the Task Manager and select the Rocket icon next to your Squad.
help_squad_setairstrike_icons_kbd      To change to the Airstrike weapon, hold [KEYICONSTASKMANAGERDISPLAY] and click on the Airstrike icon next to your Squad.
help_squad_setairstrike_icons_xin      To change to the Airstrike weapon, open the Task Manager and select the Airstrike icon next to your Squad.


help_building_reprogram                This building must be reprogrammed before it can be used.  To do this you must create an Engineer and move him within range of the nearby Control Tower.
help_engineer_summon_kbd               Engineers are used to collect dead spirits, and to reprogram buildings.  Hold [KEYGESTURESTASKMANAGERDISPLAY] and draw this gesture to summon an Engineer.
help_engineer_summon_xin               Engineers are used to collect dead spirits, and to reprogram buildings.  Open the Task Manager and draw this gesture to summon an Engineer.
help_engineer_summon_icons_kbd         Engineers are used to collect dead spirits, and to reprogram buildings.  Hold [KEYICONSTASKMANAGERDISPLAY] and click on the Engineer icon to summon an Engineer.
help_engineer_summon_icons_xin         Engineers are used to collect dead spirits, and to reprogram buildings.  Open the Task Manager and select the Engineer icon to summon an Engineer.
help_engineer_summon_2_kbd             Click inside one of the starting areas, now highlighted, to create your Engineer.  Or you may press CTRL-C to terminate the Engineer program.
help_engineer_summon_2_xin             Select one of the starting areas, now highlighted, to create your Engineer.  Or you may terminate the Engineer program.
help_engineer_summon_2_icons_kbd       Click inside one of the starting areas, now highlighted, to create your Engineer.  Or you may press CTRL-C to terminate the Engineer program.
help_engineer_summon_2_icons_xin       Select one of the starting areas, now highlighted, to create your Engineer.  Or you may terminate the Engineer program.
help_engineer_use_kbd                  Engineers will automatically do anything nearby that needs doing, such as collecting dead spirits or reprogramming buildings.  Just Left Click to move them near a task.
help_engineer_use_xin                  Engineers will automatically do anything nearby that needs doing, such as collecting dead spirits or reprogramming buildings.  Just move them near a task.

help_officer_create_kbd                You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Draw this gesture for Officer and click on a Darwinian.
help_officer_create_xin                You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Draw this gesture for Officer and select a Darwinian.
help_officer_create_icons_kbd          You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Bring up the Task Manager and click on the Officer icon, then click on a Darwinian.
help_officer_create_icons_xin          You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Bring up the Task Manager and select the Officer icon, then select a Darwinian.
help_officer_create_2_kbd              Click on a Darwinian to promote him to an Officer.  Or press CTRL-C to terminate the Officer program.
help_officer_create_2_xin              Select a Darwinian to promote him to an Officer.  Or terminate the Officer program.
help_officer_create_2_icons_kbd        Click on a Darwinian to promote him to an Officer.  Or press [KEYICONSTASKMANAGERENDTASK] to terminate the Officer program.
help_officer_create_2_icons_xin        Select a Darwinian to promote him to an Officer.  Or terminate the Officer program.
help_officer_use_kbd                   You can move an officer by Left Clicking.  Right click on the landscape to set GOTO Orders for other Darwinians to follow.  Right click near the Officer to cancel his orders.
help_officer_use_1mb_kbd               You can move an officer by clicking.  Click and hold on the landscape to set GOTO Orders for other Darwinians to follow.  Click and hold near the Officer to cancel his orders.
help_officer_toggle_kbd                To toggle through all available orders, Right Click near the officer.
help_officer_toggle_1mb_kbd            To toggle through all available orders, Click and hold near the officer.

help_showobjectives_kbd                To see a list of objectives, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, then scroll right by moving the mouse to the right of the screen, or by pressing [KEYCAMERARIGHT].
help_showobjectives_xin                To see a list of objectives, open the Task Manager, then scroll right.
help_showobjectives_icons_kbd          To see a list of objectives, hold [KEYICONSTASKMANAGERDISPLAY], then scroll down by moving the mouse to the bottom of the screen, or by pressing [KEYMENUDOWN].
help_showobjectives_icons_xin          To see a list of objectives, open the Task Manager, then scroll down.
help_armour_summon_kbd                 Click inside one of the starting areas, now Highlighted, to create your Armour.  Armour can only be created near Trunk Ports that you control.
help_armour_summon_xin                 Select one of the starting areas, now Highlighted, to create your Armour.  Armour can only be created near Trunk Ports that you control.
help_armour_use_kbd                    Left Click to move your Armour.  Right Click near the armour to toggle loading and unloading of Darwinians.  Right Click on the landscape to deploy your Armour as a Battle Cannon.
help_armour_use_1mb_kbd                Left Click to move your Armour.  Click and hold the mouse button near the armour to toggle loading and unloading of Darwinians.  Click and hold the mouse button on the landscape to deploy your Armour as a Battle Cannon.

help_radardish_1_kbd                   This Radar Dish can be used to beam people to other Radar Dishes.  Click on it to control it.
help_radardish_1_xin                   This Radar Dish can be used to beam people to other Radar Dishes.  Select it to control it.
help_radardish_2_kbd                   To aim the Radar Dish simply point and click on the Radar Dish you wish to travel to.  The receiving Radar Dish must be facing you.  Press [KEYUNITDESELECT] to deselect the Radar Dish.
help_radardish_2_xin                   To aim the Radar Dish simply point and select the Radar Dish you wish to travel to.  The receiving Radar Dish must be facing you.
help_incubator                         This building is an Incubator.  You can use Engineers to carry spirits here, which will then be reborn into more Darwinians.
help_trunkport                         This is a Trunk Port.  It acts as a stargate, connecting different locations within Darwinia together.
