# =================================================
# Errors
# =================================================

error                                  Erreur
error_incompatible                     Darwinia : Édition Vista n'est compatible qu'avec Windows Vista.\nVeuillez visiter http://www.darwinia.co.uk pour une version compatible de Darwinia.\nVoulez-vous visiter http://www.darwinia.co.uk maintenant ?
error_parental                         Les paramètres de contrôle parental actuels ne permettent pas de jouer à Darwinia : Édition Vista
darwinia_vistaedition                  Darwinia : Édition Vista

# =================================================
# About Darwinia
# =================================================

about_darwinia                         À propos de Darwinia

# ================================================
# Game controller actions
# ================================================

gc_select                              Sélectionner
gc_destroy                             Détruire
gc_create                              Créer
gc_close                               Fermer
gc_deselect                            Désélectionner
gc_place                               Placer
gc_promote                             Promouvoir
gc_move                                Déplacer
gc_aim                                 Regarder
gc_fire                                Tirer
gc_grenade                             Grenade
gc_rocket                              Roquette
gc_airstrike                           Frappe aérienne
gc_changeweapon                        Changer d'arme
gc_changeorders                        Changer d'ordre
gc_cameraup                            Haut
gc_cameradown                          Bas
gc_setgoto                             Goto
gc_setturret                           Tourelle
gc_prev                                Préc.
gc_next                                Suiv.
gc_rotateleft                          Pivoter à gauche
gc_rotateright                         Pivoter à droite
gc_zoom                                Zoomer
gc_radaraim                            Viser
gc_skip                                Passer
gc_setfollow                           Suivre


# ================================================
# Key names
# ================================================

control_alt                            ALT
control_asterisk                       *
control_at                             @
control_backslash                      \
control_backspace                      RETOUR ARRIÈRE
control_capslock                       VERR. MAJUSCULES
control_comma                          VIRGULE
control_control                        CTRL
control_del                            Supprimer
control_end                            Fin
control_enter                          Entrée
control_equals                         =
control_esc                            Échap
control_home                           Début
control_insert                         Ins
control_minus                          -
control_pause                          PAUSE
control_pgdn                           PGBS
control_pgup                           PGHT
control_quote                          é
control_shift                          Maj
control_slash                          /
control_space                          Espace
control_stop                           .
control_tab                            TAB
control_tilde                          ~

control_left                           Gauche
control_right                          Droite
control_up                             Haut
control_down                           Bas

control_plus_pad                       +_NUM
control_minus_pad                      -_NUM
control_del_pad                        SUPPR_NUM
control_slash_pad                      /_NUM

control_numlock                        VERR_NUM
control_scrlock                        ARRÊT_DÉFIL

control_openbrace                      ^
control_closebrace                     $

# =================================================
# CONTROL EVENTS
# Used in "Main Menu -> Options -> Control Options"
# =================================================

control_event_left                     Gauche
control_event_right                    Droite
control_event_forwards                 Vers l'avant
control_event_backwards                Vers l'arrière
control_event_up                       Haut
control_event_down                     Bas
control_event_zoom                     Zoom avant
control_event_deselect                 Désélectionner
control_event_chatlog                  Journal de dialogues
control_event_skipmessage              Passer le message
control_event_iconstaskmanagerdisplay  Gestionnaire de programmes
control_event_iconstaskmanagerendtask  Fermer le programme
control_event_iconschatlog             Journal de dialogues
control_event_unitmove                 Mouvement de l'unité
control_event_unitprimaryfire          Arme principale de l'unité
control_event_unitsecondaryfire        Arme secondaire de l'unité
control_event_taskmanagerdisplay       Gestionnaire de programmes
control_event_taskmanagerswitchtask    Changer de programme
control_event_taskmanagerendtask       Fermer le programme


# =================================================
# 360 Control Help
# =================================================

control_help_move                      Déplacer unité
control_help_lasers                    Tirer au laser
control_help_cameramove                Déplacer caméra
control_help_cameraturn                Tourner caméra
control_help_directmovecam             Déplacer caméra
control_help_cameraup                  Monter caméra (appuyer)
control_help_cameradown                Descendre caméra (appuyer)
