# =================================================
# Errors
# =================================================

error                                  Errore
error_incompatible                     Darwinia: Vista Edition è compatibile solo con Windows Vista.\nVisita http://www.darwinia.co.uk per cercare una versione compatibile di Darwinia.\nVisitare http://www.darwinia.co.uk ora?
error_parental                         Le impostazioni Controllo genitori correnti non consentono l'esecuzione di Darwinia: Vista Edition
darwinia_vistaedition                  Darwinia: Vista Edition

# =================================================
# About Darwinia
# =================================================

about_darwinia                         Informazioni su Darwinia

# ================================================
# Game controller actions
# ================================================

gc_select                              Seleziona
gc_destroy                             Distruggi
gc_create                              Crea
gc_close                               Chiudi
gc_deselect                            Deseleziona
gc_place                               Posiziona
gc_promote                             Promuovi
gc_move                                Sposta
gc_aim                                 Guarda
gc_fire                                Spara
gc_grenade                             Granata
gc_rocket                              Razzo
gc_airstrike                           Attacco aereo
gc_changeweapon                        Cambia arma
gc_changeorders                        Cambia ordini
gc_cameraup                            Su
gc_cameradown                          Giù
gc_setgoto                             Imposta movimento
gc_setturret                           Imposta torretta
gc_prev                                Indietro
gc_next                                Avanti
gc_rotateleft                          Ruota a sinistra
gc_rotateright                         Ruota a destra
gc_zoom                                Zoom
gc_radaraim                            Mira
gc_skip                                Salta
gc_setfollow                           Imposta Segui


# ================================================
# Key names
# ================================================

control_alt                            ALT
control_asterisk                       *
control_at                             @
control_backslash                      \
control_backspace                      BACKSPACE
control_capslock                       BLOC MAIUSC
control_comma                          VIRGOLA
control_control                        CTRL
control_del                            Canc
control_end                            Fine
control_enter                          Invio
control_equals                         =
control_esc                            Esc
control_home                           Home
control_insert                         Ins
control_minus                          -
control_pause                          PAUSA
control_pgdn                           PGGIÙ
control_pgup                           PGSU
control_quote                          VIRGOLETTE
control_shift                          Maiusc
control_slash                          /
control_space                          Spazio
control_stop                           .
control_tab                            TAB
control_tilde                          ~

control_left                           Sinistra
control_right                          Destra
control_up                             Su
control_down                           Giù

control_plus_pad                       NUM_+
control_minus_pad                      NUM_-
control_del_pad                        NUM_CANC
control_slash_pad                      NUM_/

control_numlock                        BLOC NUM
control_scrlock                        BLOC SCORR

control_openbrace                      {
control_closebrace                     }

# =================================================
# CONTROL EVENTS
# Used in "Main Menu -> Options -> Control Options"
# =================================================

control_event_left                     Sinistra
control_event_right                    Destra
control_event_forwards                 Avanti
control_event_backwards                Indietro
control_event_up                       Su
control_event_down                     Giù
control_event_zoom                     Zoom
control_event_deselect                 Deseleziona
control_event_chatlog                  Archivio chat
control_event_skipmessage              Salta messaggio
control_event_iconstaskmanagerdisplay  Riquadro attività
control_event_iconstaskmanagerendtask  Termina attività
control_event_iconschatlog             Archivio chat
control_event_unitmove                 Spostamento unità
control_event_unitprimaryfire          Arma principale unità
control_event_unitsecondaryfire        Arma secondaria unità
control_event_taskmanagerdisplay       Riquadro attività
control_event_taskmanagerswitchtask    Cambia attività
control_event_taskmanagerendtask       Termina attività


# =================================================
# 360 Control Help
# =================================================

control_help_move                      Sposta unità
control_help_lasers                    Usa laser
control_help_cameramove                Sposta visuale
control_help_cameraturn                Ruota visuale
control_help_directmovecam             Sposta visuale
control_help_cameraup                  Visuale su (premi)
control_help_cameradown                Visuale giù (premi)
control_help_quickunitstart            Visualizza Riquadro attività
control_help_quickunitcreate           Crea unità
control_help_quickunitplace            Posiziona unità
control_help_endtask                   Chiudi attività
control_help_radar                     Punta radar
control_help_fireturret                Usa armi
control_help_deselect                  Deseleziona unità
control_help_confirm                   Conferma/Seleziona
control_help_next                      Unità successiva
control_help_previous                  Unità precedente
control_help_secondaryaim              Mira (tieni premuto)
control_help_secondaryfire             Spara
control_help_changesecondary           Cambia arma
control_help_officergoto               Imposta movimento
control_help_officermode               Cambia modalità
control_help_armourturret              Lascia torretta
control_help_armourmode                Modalità Raccogli/Lascia



# ================================================
# Help strings
# ================================================

help_camera_movement_kbd               Muovi la visuale usando i tasti di direzione [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] e [KEYCAMERARIGHT]. Puoi controllare l'altezza della visuale usando la rotellina del mouse o i tasti di direzione [KEYCAMERAUP] e [KEYCAMERADOWN].
help_camera_movement_xin               Muovi la visuale.
help_camera_height_kbd                 Se possiedi un mouse con la rotellina centrale, puoi farla scorrere per cambiare l'altezza della visuale; altrimenti puoi utilizzare i tasti [KEYCAMERAUP] e [KEYCAMERADOWN] per spostarla verso l'alto o verso il basso.
help_camera_zoom_kbd                   Se hai un mouse con la rotellina centrale, fai clic su quest'ultima per eseguire uno zoom, oppure premi il tasto [KEYCAMERAZOOM].
help_camera_movefast_kbd               Puoi spostare la visuale più velocemente tenendo premuto il tasto [KEYCAMERASPEEDUP] mentre la muovi.
