# =================================================
# Errors
# =================================================

error                                  Fehler
error_incompatible                     Darwinia: Vista Edition ist nur kompatibel mit Windows Vista.\nBitte besuchen Sie http://www.darwinia.co.uk, um eine kompatible Version von Darwinia zu finden.\nMöchten Sie jetzt http://www.darwinia.co.uk besuchen?
error_parental                         Mit den aktuellen Jugendschutzeinstellungen können Sie Darwinia: Vista Edition nicht spielen
darwinia_vistaedition                  Darwinia: Vista Edition

# =================================================
# About Darwinia
# =================================================

about_darwinia                         Über Darwinia

# ================================================
# Game controller actions
# ================================================

gc_select                              Wählen
gc_destroy                             Zerstören
gc_create                              Erstellen
gc_close                               Schließen
gc_deselect                            Abwählen
gc_place                               Platzieren
gc_promote                             Befördern
gc_move                                Bewegen
gc_aim                                 Schauen
gc_fire                                Feuern
gc_grenade                             Granate
gc_rocket                              Rakete
gc_airstrike                           Luftangriff
gc_changeweapon                        Waffe wechseln
gc_changeorders                        Befehle ändern
gc_cameraup                            Hoch
gc_cameradown                          Runter
gc_setgoto                             Gehezu bestimmen
gc_setturret                           Turm bewegen
gc_prev                                Zurück
gc_next                                Weiter
gc_rotateleft                          Links drehen
gc_rotateright                         Rechts drehen
gc_zoom                                Zoom
gc_radaraim                            Zielen
gc_skip                                Überspringen
gc_setfollow                           Folgen einstellen


# ================================================
# Key names
# ================================================

control_alt                            ALT
control_asterisk                       *
control_at                             @
control_backslash                      \
control_backspace                      RÜCKSCHRITT
control_capslock                       HOCHSTELL
control_comma                          KOMMA
control_control                        STRG
control_del                            Entf
control_end                            Ende
control_enter                          Eingabe
control_equals                         =
control_esc                            Esc
control_home                           Pos1
control_insert                         Einfg
control_minus                          -
control_pause                          PAUSE
control_pgdn                           BILDHOCH
control_pgup                           BILDRUNTER
control_quote                          ANFÜHR
control_shift                          Hochstell
control_slash                          /
control_space                          Leerzeichen
control_stop                           .
control_tab                            TAB
control_tilde                          ~

control_left                           Links
control_right                          Rechts
control_up                             Hoch
control_down                           Runter

control_plus_pad                       NUM_+
control_minus_pad                      NUM_-
control_del_pad                        NUM_ENTF
control_slash_pad                      NUM_/

control_numlock                        NUMLOCK
control_scrlock                        SCRLOCK

control_openbrace                      {
control_closebrace                     }

# =================================================
# CONTROL EVENTS
# Used in "Main Menu -> Options -> Control Options"
# =================================================

control_event_left                     Links
control_event_right                    Rechts
control_event_forwards                 Vorwärts
control_event_backwards                Rückwärts
control_event_up                       Hoch
control_event_down                     Runter
control_event_zoom                     Zoom
control_event_deselect                 Auswahl umkehren
control_event_chatlog                  Chat-Protokoll
control_event_skipmessage              Nachricht überspringen
control_event_iconstaskmanagerdisplay  Task Manager anzeigen
control_event_iconstaskmanagerendtask  Aufgabe beenden
control_event_iconschatlog             Chat-Protokoll
control_event_unitmove                 Einheit bewegen
control_event_unitprimaryfire          Einheit Primärwaffe
control_event_unitsecondaryfire        Einheit Sekundärwaffe
control_event_taskmanagerdisplay       Task Manager anzeigen
control_event_taskmanagerswitchtask    Aufgabe wechseln
control_event_taskmanagerendtask       Aufgabe beenden


# =================================================
# 360 Control Help
# =================================================

control_help_move                      Einheit bewegen
control_help_lasers                    Laser feuern
control_help_cameramove                Kamera bewegen
control_help_cameraturn                Kamera drehen
control_help_directmovecam             Kamera bewegen
control_help_cameraup                  Kamera hoch (drücken)
control_help_cameradown                Kamera runter (drücken)
control_help_quickunitstart            Task Manager öffnen
control_help_quickunitcreate           Einheit erstellen
control_help_quickunitplace            Einheit platzieren
control_help_endtask                   Aufgabe schließen
control_help_radar                     Radar ausrichten
control_help_fireturret                Kanonen abfeuern
control_help_deselect                  Einheit abwählen
control_help_confirm                   Bestätigen / wählen
control_help_next                      Nächste Einheit
control_help_previous                  Vorherige Einheit
control_help_secondaryaim              Zielen (halten)
control_help_secondaryfire             Feuern
control_help_changesecondary           Waffe wechseln
control_help_officergoto               Gehezu bestimmen
control_help_officermode               Modus ändern
control_help_armourturret              Kanonenturm senken
control_help_armourmode                Sammel-/Ablegen-Modus



# ================================================
# Help strings
# ================================================

help_camera_movement_kbd               Zum Bewegen der Kamera die Tasten [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] und [KEYCAMERARIGHT] benutzen. Für die Höheneinstellung der Kamera das Mausrad oder die Tasten [KEYCAMERAUP] und [KEYCAMERADOWN] benutzen.
help_camera_movement_xin               Bewegen der Kamera.
help_camera_height_kbd                 Bei Mäusen mit mittlerer Taste kann diese zur Höhenverstellung verwendet werden. Oder verwende zum Höherstellen [KEYCAMERAUP] bzw. zum Tieferstellen [KEYCAMERADOWN].
help_camera_zoom_kbd                   Bei Mäusen mit mittlerer Maustaste kann diese zum Zoomen benutzt werden. Die gleiche Funktion erfüllt die Taste [KEYCAMERAZOOM].
help_camera_movefast_kbd               Für eine schnellere Kamerabewegung wird die [KEYCAMERASPEEDUP]  gedrückt.
help_taskmanager_1_kbd                 Um in Darwinia Figuren oder Objekte zu erstellen, zeichnest du die Gesten im Task Manager. Festhalten von [KEYGESTURESTASKMANAGERDISPLAY] öffnet den Task Manager.
help_taskmanager_2_kbd                 Für eine Liste der möglichen Gesten, rufst du mit [KEYGESTURESTASKMANAGERDISPLAY] den Task Manager auf und scrollst nach links, indem du die Maus nach links bewegst, oder mithilfe von [KEYMENULEFT].
help_taskmanager_3_kbd                 Gleichzeitig können immer nur DREI Tasks ausgeführt werden. Zum Abschalten von Tasks hältst du [KEYGESTURESTASKMANAGERDISPLAY] gedrückt und springst mit der Tab-Taste von einer Task zu nächsten. Drücke dann STRG-C.
help_taskmanager_3_xin                 Gleichzeitig können immer nur DREI Tasks gleichzeitig ausgeführt werden. Tasks können abgeschaltet werden.
help_taskmanager_4_kbd                 Um eine bestehende Task erneut auszuwählen, rufst du mit [KEYGESTURESTASKMANAGERDISPLAY] den Task Manager auf und springst mit der Tab-Taste auf das betreffende Symbol.
help_showchatlog_kbd                   Um alles, was ich gesagt habe, zu lesen, hältst du die Taste [KEYGESTURESCHATLOG] gedrückt.
help_taskmanager_1_icons_kbd           Um in Darwinia Figuren oder Objekte zu erstellen, zeichnest du die Gesten im Task Manager. Festhalten von [KEYICONSTASKMANAGERDISPLAY] öffnet den Task Manager.
help_taskmanager_1_icons_xin           Um in Darwinia Figuren oder Objekte zu erstellen, zeichnest du die Gesten im Task Manager.
help_taskmanager_2_icons_kbd           Für eine Liste der verfügbaren Programme drückst du [KEYICONSTASKMANAGERDISPLAY]. Klicke auf eins davon, um ein neues Programm zu erstellen.
help_taskmanager_3_icons_kbd           Gleichzeitig können immer nur DREI Tasks ausgeführt werden. Zum Abschalten der aktuellen Task drückst du [KEYICONSTASKMANAGERENDTASK] oder du klickst auf das entsprechende Löschsymbol im Task Manager.
help_taskmanager_3_icons_xin           Gleichzeitig können immer nur DREI Tasks ausgeführt werden.
help_taskmanager_4_icons_kbd           Um eine bestehende Task erneut auszuwählen, hältst du [KEYICONSTASKMANAGERDISPLAY] gedrückt und klickst auf das betreffende Symbol. Oder du drückst auf die entsprechenden Zahlentasten.
help_showchatlog_icons_kbd             Um alles, was ich gesagt habe, zu lesen, hältst du die Taste [KEYICONSCHATLOG] gedrückt.

help_deselect_kbd                      Zum Abwählen des aktuellen Objekts drückst du auf [KEYUNITDESELECT]
help_squad_summon_1_kbd                Um einen Trupp zu erstellen, öffnest du mit [KEYGESTURESTASKMANAGERDISPLAY] den Task Manager und zeichnest dann diese Geste.
help_squad_summon_1_icons_kbd          Um einen Trupp zu erstellen, öffnest du mit [KEYICONSTASKMANAGERDISPLAY] den Task Manager und klickst auf das Trupp-Symbol.
help_squad_summon_2_kbd                Klicke mit der linken Maustaste auf einen der Anfangsbereiche (derzeit markiert), um deinen Trupp in der Welt zu erstellen.
help_squad_summon_2_xin                Wähle einen der Anfangsbereiche (derzeit markiert), um deinen Trupp in der Welt zu erstellen.
help_squad_use_kbd                     Klicke erneut, um deinen Trupp zu bewegen. Mit einem Rechtsklick feuerst du die Laserkanonen. Drücke [KEYUNITDESELECT] zum Abwählen. Truppen können nicht ins Wasser.
help_squad_use_1mb_kbd                 Klicke, um deinen Trupp zu bewegen. Klicke und halte die Taste gedrückt, um die Laserkanonen abzufeuern. Drücke [KEYUNITDESELECT] zum Abwählen.
help_squad_grenade_kbd                 Du kannst eine Granate werfen, indem du mit der linken Maustaste klickst, während du Laserkanonen mit der rechten Maustaste feuerst.
help_squad_grenade_1mb_kbd             Mit Umschalt-Klick kannst du die Granate werfen.
help_squad_setgrenade                  Zum Wechseln zur Granate zeichnest du die Granatengeste.
help_squad_setrocket                   Zum Wechseln zur Rakete zeichnest du die Raketengeste.
help_squad_setairstrike                Zum Wechseln zum Luftangriff zeichnest du die Luftangriffsgeste.
help_squad_setgrenade_icons_kbd        Zum Wechseln zur Granate hältst du [KEYICONSTASKMANAGERDISPLAY] gedrückt und klickst auf das Granaten-Symbol neben deinem Trupp.
help_squad_setgrenade_icons_xin        Zum Wechseln zur Granate öffnest du den Task Manager und wählst das Granaten-Symbol neben deinem Trupp.
help_squad_setrocket_icons_kbd         Zum Wechseln zur Rakete hältst du [KEYICONSTASKMANAGERDISPLAY] gedrückt und klickst auf das Raketen-Symbol neben deinem Trupp.
help_squad_setrocket_icons_xin         Zum Wechseln zur Rakete öffnest du den Task Manager und wählst das Raketen-Symbol neben deinem Trupp.
help_squad_setairstrike_icons_kbd      Zum Wechseln zum Luftangriff hältst du [KEYICONSTASKMANAGERDISPLAY] gedrückt und klickst auf das Luftangriff-Symbol neben deinem Trupp.
help_squad_setairstrike_icons_xin      Zum Wechseln zum Luftangriff öffnest du den Task Manager und wählst das Luftangriff-Symbol neben deinem Trupp.


help_building_reprogram                Dieses Gebäude muss umprogrammiert werden, ehe es benutzt werden kann. Zu diesem Zweck musst du einen Ingenieur erstellen und ihn in Reichweite des nächsten Kontrollturms bringen.
help_engineer_summon_kbd               Ingenieure werden zum Einsammeln toter Seelen und zum Neuprogrammieren von Gebäuden eingesetzt. Halte [KEYGESTURESTASKMANAGERDISPLAY] gedrückt und zeichne diese Geste, um einen Ingenieur auf den Plan zu rufen.
help_engineer_summon_xin               Ingenieure werden zum Einsammeln toter Seelen und zum Neuprogrammieren von Gebäuden eingesetzt. Öffne den Task Manager und zeichne diese Geste, um einen Ingenieur auf den Plan zu rufen.
help_engineer_summon_icons_kbd         Ingenieure werden zum Einsammeln toter Seelen und zum Neuprogrammieren von Gebäuden eingesetzt. Halte [KEYICONSTASKMANAGERDISPLAY] gedrückt und klicke auf das Ingenieur-Symbol, um einen Ingenieur auf den Plan zu rufen.
help_engineer_summon_icons_xin         Ingenieure werden zum Einsammeln toter Seelen und zum Neuprogrammieren von Gebäuden eingesetzt. Öffne den Task Manager und wähle das Ingenieur-Symbol, um einen Ingenieur auf den Plan zu rufen.
help_engineer_summon_2_kbd             Klicke mit der linken Maustaste auf einen der Anfangsbereiche (derzeit markiert), um einen Ingenieur zu erstellen. Oder drücke STRG-C, um das Ingenieur-Programm zu beenden.
help_engineer_summon_2_xin             Wähle einen der Anfangsbereiche (derzeit markiert), um einen Ingenieur zu erstellen. Oder beende das Ingenieur-Programm.
help_engineer_summon_2_icons_kbd       Klicke mit der linken Maustaste auf einen der Anfangsbereiche (derzeit markiert), um einen Ingenieur zu erstellen. Oder drücke STRG-C, um das Ingenieur-Programm zu beenden.
