# ================================
# id   x        y        z
# ================================

1      -227.73  -128.48  133.05  
2      -221.89  -166.56  -96.26  
3      -148.06  -240.35  72.47   
4      -56.82   -147.29  241.93  
5      -84.11   -246.54  142.03  
6      114.61   -267.83  8.68    
7      178.52   -115.71  204.22  
8      -46.46   -272.25  -100.13 
9      66.25    -170.10  -228.47 
10     232.80   -178.47  -45.09  
11     188.10   -67.25   -216.90 
12     174.67   -234.00  68.83   
