# =================================================
# Greenhouse stuff
# =================================================

gk_nonetwork                           No Connection

# =================================================
# Logitech stuff
# =================================================

logitech_num_DG							Multiwinians selected:
logitech_alert							Alert!
logitech_logo							Multiwinia
logitech_blurb							Survival of the flattest

# =================================================
# Errors
# =================================================

error                                  Error
error_incompatible                     Darwinia: Vista Edition is only compatible with Windows Vista.\nPlease visit http://www.darwinia.co.uk for a compatible version of Darwinia.\nWould you like to visit http://www.darwinia.co.uk now?
error_parental                         Current Parental Control Settings will not allow Darwinia: Vista Edition to be played
darwinia_vistaedition                  Darwinia: Vista Edition

# =================================================
# About Darwinia
# =================================================

about_darwinia                         About Darwinia

# ================================================
# Game controller actions
# ================================================

gc_select                              Select
gc_destroy                             Destroy
gc_create                              Create
gc_close                               Close
gc_deselect                            Deselect
gc_place                               Place
gc_promote                             Promote
gc_move                                Move
gc_aim                                 Look
gc_fire                                Fire
gc_grenade                             Grenade
gc_rocket                              Rocket
gc_airstrike                           Airstrike
gc_changeweapon                        Change Weapon
gc_changeorders                        Change Orders
gc_cameraup                            Up
gc_cameradown                          Down
gc_setgoto                             Set Goto
gc_setturret                           Set Turret
gc_prev                                Prev
gc_next                                Next
gc_rotateleft                          Rotate Left
gc_rotateright                         Rotate Right
gc_zoom                                Zoom
gc_zoomin                              Zoom In
gc_zoomout                             Zoom Out
gc_radaraim                            Aim
gc_cancel							   Cancel


# ================================================
# Key names
# ================================================

control_alt                            ALT
control_asterisk                       *
control_at                             @
control_backslash                      \
control_backspace                      BACKSPACE
control_capslock                       CAPSLOCK
control_comma                          COMMA
control_control                        CTRL
control_del                            Del
control_end                            End
control_enter                          Enter
control_equals                         =
control_esc                            Esc
control_home                           Home
control_insert                         Ins
control_minus                          -
control_pause                          PAUSE
control_pgdn                           PGDN
control_pgup                           PGUP
control_quote                          QUOTE
control_shift                          Shift
control_slash                          /
control_space                          Space
control_stop                           .
control_tab                            TAB
control_tilde                          ~

control_left                           Left
control_right                          Right
control_up                             Up
control_down                           Down

control_plus_pad                       NUM_+
control_minus_pad                      NUM_-
control_del_pad                        NUM_DEL
control_slash_pad                      NUM_/

control_numlock                        NUMLOCK
control_scrlock                        SCRLOCK

control_openbrace                      {
control_closebrace                     }

# =================================================
# CONTROL EVENTS
# Used in "Main Menu -> Options -> Control Options"
# =================================================

control_event_left                     Left
control_event_right                    Right
control_event_forwards                 Forwards
control_event_backwards                Backwards
control_event_up                       Up
control_event_down                     Down
control_event_zoom                     Zoom
control_event_deselect                 Deselect
control_event_chatlog                  Chat Log
control_event_skipmessage              Skip Message
control_event_iconstaskmanagerdisplay  Display Task Manager
control_event_iconstaskmanagerendtask  End Task
control_event_iconschatlog             Chat Log
control_event_unitmove                 Unit Move
control_event_unitprimaryfire          Unit Primary Fire
control_event_unitsecondaryfire        Unit Secondary Fire
control_event_taskmanagerdisplay       Display Task Manager
control_event_taskmanagerswitchtask    Switch Task
control_event_taskmanagerendtask       End Task


# =================================================
# 360 Control Help
# =================================================

control_help_move                      Move Unit
control_help_lasers                    Fire Lasers
control_help_cameramove                Move Camera
control_help_cameraturn                Turn Camera
control_help_directmovecam             Move Camera
