MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	1500
	DefenderPopulationCap	250
	NumPlayers	3
	LevelOptions	trunkportreinforcements 75	
	InvalidCrates	Armour	
	PlayTime	15
	Difficulty	advanced
	AttackingTeams	1 2 
	ForceCoop
	CoopGroup1Positions	0 
	CoopGroup2Positions	1 2 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 5000
	worldSizeZ 5000
	cellSize 26.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_launchpad.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   252  -6.57    285   4484  1.10   3.52    305      1 567775   1.00     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.07   0.35   0.93     1.00   1.00   1.00
	 -0.04   0.43   0.90     2.77   1.07   0.00
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	PulseBomb           0       2372.97 2417.58 0       0.32    -0.95   0       900.00  157 159 158 
	LaserFence          1       1891.11 2326.28 0       -0.83   -0.56   0       2       2.00  2
	LaserFence          2       1821.29 2419.03 0       -0.99   -0.14   0       133     1.00  2
	LaserFence          3       1990.56 2855.29 0       -0.23   0.97    0       4       2.00  2
	LaserFence          4       2346.69 2857.79 0       0.27    0.96    0       5       2.00  2
	LaserFence          5       2699.45 2729.22 0       0.73    0.68    0       6       2.00  2
	LaserFence          6       2929.92 2511.60 0       0.92    0.39    0       7       2.00  2
	LaserFence          7       2987.89 2209.14 0       0.90    -0.43   0       16      2.00  2
	LaserFence          8       2678.20 1843.41 0       0.27    -0.96   0       9       2.00  2
	LaserFence          9       2236.45 1913.16 0       -0.42   -0.91   0       1       2.00  2
	LaserFence          10      1470.99 1884.61 0       0.70    0.72    0       11      2.00  2
	LaserFence          11      1634.67 2048.89 0       0.88    -0.48   0       12      2.00  2
	LaserFence          12      1715.18 2246.54 0       -0.73   0.69    0       1       2.00  2
	LaserFence          13      3457.53 2830.40 0       -0.99   -0.14   0       14      2.00  2
	LaserFence          14      3201.58 2798.18 0       -0.50   0.86    0       15      2.00  2
	LaserFence          15      3068.36 2619.33 0       0.73    -0.68   0       6       2.00  2
	LaserFence          16      2987.44 2106.29 0       0.85    -0.52   0       17      1.00  2
	LaserFence          17      2782.04 1880.51 0       0.50    -0.87   0       8       1.00  5
	LaserFence          18      2221.33 906.19  0       0.22    0.98    0       19      2.00  2
	LaserFence          19      2265.59 1164.76 0       0.88    0.48    0       20      2.00  2
	LaserFence          20      2189.88 1306.97 0       0.99    -0.10   0       76      2.00  2
	LaserFence          21      2218.67 1749.41 0       1.00    -0.00   0       9       2.00  2
	LaserFence          22      3444.17 2689.04 0       0.62    0.78    0       23      1.50  2
	LaserFence          23      3245.61 2694.30 0       -0.32   0.95    0       24      1.50  2
	LaserFence          24      3130.60 2559.74 0       -0.67   0.75    0       25      1.50  2
	LaserFence          25      3021.42 2468.53 0       -0.83   0.56    0       26      1.50  2
	LaserFence          26      3073.00 2203.70 0       -0.90   -0.44   0       27      1.50  2
	LaserFence          27      3132.63 2162.18 0       -0.83   0.56    0       -1      1.00  2
	LaserFence          28      3321.30 2142.46 0       0.80    0.61    0       29      1.00  2
	LaserFence          29      3390.12 2187.82 0       0.66    -0.75   0       30      1.50  2
	LaserFence          30      3468.61 2362.37 0       0.88    -0.48   0       32      1.50  2
	LaserFence          31      3541.81 2547.25 0       1.00    -0.10   0       22      1.50  2
	LaserFence          32      3498.30 2381.21 255     -0.90   -0.43   0       -1      1.00  0
	LaserFence          33      3548.84 2499.23 0       -0.13   0.99    0       31      1.00  2
	LaserFence          34      1479.33 1623.65 0       0.07    1.00    0       35      2.00  2
	LaserFence          35      1191.87 1550.13 0       -0.59   0.81    0       36      2.00  2
	LaserFence          36      1070.13 1306.95 0       -0.99   0.16    0       37      2.00  2
	LaserFence          37      1133.86 1054.62 0       -0.96   -0.29   0       38      2.00  2
	LaserFence          38      1292.73 853.81  0       -0.46   -0.89   0       39      2.00  2
	LaserFence          39      1570.31 895.75  0       0.32    -0.95   0       40      2.00  2
	LaserFence          40      1698.08 1091.59 0       0.88    -0.48   0       41      2.00  2
	LaserFence          41      1716.89 1314.92 0       1.00    0.00    0       42      2.00  2
	LaserFence          42      1710.59 1371.30 0       -0.03   -1.00   0       -1      1.25  2
	LaserFence          43      1562.16 1581.58 0       -0.86   0.52    0       34      1.25  2
	Wall                44      2299.11 3569.59 255     0.98    0.20    0         -1
	Wall                45      2217.47 3551.31 255     0.98    0.20    0         -1
	Wall                46      2266.34 3518.11 255     0.22    -0.98   0         -1
	Wall                47      2250.53 3600.70 255     0.22    -0.98   0         -1
	Wall                48      2315.99 3487.17 255     0.98    0.20    0         -1
	Wall                49      2332.31 3405.15 255     0.98    0.20    0         -1
	Wall                51      2394.35 3092.38 255     0.98    0.20    0         -1
	Wall                52      2410.99 3010.08 255     0.98    0.20    0         -1
	Wall                53      2427.87 2928.15 255     0.98    0.20    0         -1
	Wall                54      2345.21 2909.74 255     0.98    0.20    0         -1
	Wall                55      2377.75 2958.70 255     0.22    -0.98   0         -1
	Wall                56      2395.27 2877.22 255     0.22    -0.98   0         -1
	Wall                57      2344.97 3123.05 255     0.22    -0.98   0         -1
	Wall                58      2299.58 3353.84 255     0.22    -0.98   0         -1
	GunTurret           59      3507.09 2447.15 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           60      3177.89 2116.17 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           61      3264.99 2108.80 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           62      2370.15 3204.18 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           63      2351.48 3294.48 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	LaserFence          64      1948.91 3736.31 0       -0.59   -0.81   0       65      2.00  2
	LaserFence          65      1836.50 3591.23 0       -0.90   0.44    0       66      2.00  2
	LaserFence          66      1797.68 3427.40 0       -0.92   -0.38   0       69      2.00  2
	LaserFence          67      1794.11 3132.53 0       -0.97   0.26    0       68      2.00  5
	LaserFence          68      1823.46 2966.59 0       -0.80   -0.60   0       3       2.00  2
	LaserFence          69      1848.11 3371.23 0       -0.96   -0.29   0       70      1.00  2
	LaserFence          70      1854.95 3197.75 0       -0.85   0.53    0       67      1.00  5
	TrunkPort           71      3120.72 3562.80 1       0.17    -0.99   1       -1      
	TrunkPort           72      3258.67 3455.26 1       -0.74   -0.68   1       -1      
	TrunkPort           73      3303.47 3294.95 1       -0.99   0.11    1       -1      
	LaserFence          74      2272.56 1654.03 0       1.00    0.00    0       21      1.00  5
	LaserFence          76      2239.82 1401.44 0       1.00    0.00    0       74      1.00  2
	Wall                75      2623.51 1797.35 255     1.00    0.00    0         -1
	Wall                77      2707.02 1795.25 255     1.00    0.00    0         -1
	Wall                78      2665.27 1837.16 255     -0.03   -1.00   0         -1
	Wall                79      2665.03 1753.31 255     -0.03   -1.00   0         -1
	Wall                80      2707.98 1710.73 255     1.00    0.00    0         -1
	Wall                81      2707.11 1627.46 255     1.00    0.00    0         -1
	Wall                83      2705.51 1295.36 255     1.00    0.00    0         -1
	Wall                84      2706.68 1211.83 255     1.00    0.00    0         -1
	Wall                85      2706.62 1127.94 255     1.00    0.00    0         -1
	Wall                86      2709.11 1047.22 255     1.00    0.00    0         -1
	Wall                87      2625.68 1049.92 255     1.00    0.00    0         -1
	Wall                88      2665.23 1585.61 255     -0.03   -1.00   0         -1
	Wall                89      2663.88 1337.02 255     -0.03   -1.00   0         -1
	Wall                90      2664.96 1087.15 255     -0.03   -1.00   0         -1
	Wall                91      2667.11 1005.18 255     -0.03   -1.00   0         -1
	GunTurret           82      2693.54 1377.20 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           92      2691.38 1552.21 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	TrunkPort           94      4014.56 1448.13 2       -0.96   -0.29   1       -1      
	TrunkPort           95      3987.00 1303.14 2       -0.88   0.47    1       -1      
	TrunkPort           96      3716.29 1162.46 2       0.17    0.99    1       -1      
	SolarPanel          97      3173.91 2448.94 0       0.00    1.00    0       99      
	SolarPanel          98      3283.25 2542.08 0       0.00    1.00    0       100     
	SolarPanel          99      3284.27 2426.54 0       0.00    0.93    0       100     
	Pylon               100     3412.89 2498.54 255     -0.46   0.89    0       101     
	Pylon               101     3726.96 2456.12 255     -0.08   1.00    0       102     
	Pylon               102     3821.88 2687.42 255     -0.99   0.11    0       103     
	Pylon               103     3670.11 2923.57 255     -0.67   -0.75   0       104     
	Pylon               104     3341.62 3017.50 255     0.22    -0.98   0       105     
	Pylon               105     3032.23 2906.78 255     -0.37   0.93    0       106     
	Pylon               106     2777.87 2732.99 255     0.22    0.98    0       107     
	Pylon               107     2383.52 2919.25 255     0.27    0.96    0       108     
	Pylon               108     2039.04 2908.58 255     0.12    0.99    0       109     
	Pylon               109     1890.09 2980.26 255     0.58    0.81    0       110     
	PylonEnd            110     1801.20 3131.94 255     0.98    -0.20   0       69      
	LaserFence          111     1376.02 4142.56 0       0.76    0.64    0       112     2.00  2
	LaserFence          112     1129.59 4226.09 0       -0.08   1.00    0       113     2.00  2
	LaserFence          113     828.00  4029.24 0       -0.77   0.64    0       114     2.00  2
	LaserFence          114     784.58  3779.45 0       -0.92   -0.40   0       115     2.00  2
	LaserFence          115     1126.00 3554.27 0       -0.13   -0.99   0       117     2.00  2
	LaserFence          116     1472.92 3947.84 0       1.00    0.00    0       111     2.00  2
	LaserFence          117     1300.92 3605.67 0       -0.96   -0.29   0       -1      1.25  2
	LaserFence          118     1447.64 3818.98 0       0.07    1.00    0       116     1.25  2
	GunTurret           119     1352.51 3731.03 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	SolarPanel          120     1080.50 3837.18 0       -0.00   0.97    0       123     
	SolarPanel          121     1063.13 3942.29 0       0.00    0.93    0       120     
	SolarPanel          122     1199.02 3977.86 0       0.00    0.99    0       123     
	Pylon               123     1224.64 3783.45 255     -0.94   -0.35   0       124     
	Pylon               124     1290.95 3400.65 255     -1.00   0.09    0       125     
	Pylon               125     1231.57 2967.72 255     -0.97   0.26    0       126     
	Pylon               126     1076.10 2321.05 255     1.00    0.00    0       127     
	Pylon               127     937.31  1767.04 255     1.00    -0.05   0       128     
	Pylon               128     909.53  1289.84 255     0.99    0.15    0       131     
	Pylon               129     2025.80 907.72  255     -0.74   0.68    0       130     
	PylonEnd            130     2182.62 1307.04 255     -0.99   0.14    0       76      
	Pylon               131     1054.78 850.48  255     0.80    0.61    0       132     
	Pylon               132     1451.88 702.88  255     0.07    1.00    0       129     
	LaserFence          133     1917.33 2798.31 0       -0.79   0.61    0       3       1.00  5
	SolarPanel          134     1403.34 1180.28 0       -0.00   1.00    0       136     
	SolarPanel          135     1283.37 1253.53 0       0.00    1.00    0       136     
	SolarPanel          136     1415.79 1276.69 0       0.00    1.00    0       137     
	Pylon               137     1590.69 1655.50 255     -0.92   -0.38   0       138     
	Pylon               138     1307.51 1833.18 255     1.00    0.00    0       140     
	Pylon               140     1648.89 2257.44 255     0.62    -0.78   0       139     
	PylonEnd            139     1884.20 2329.29 255     -0.96   0.29    0       2       
	GunTurret           141     1583.69 1553.86 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           142     1701.54 1399.22 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           143     1650.28 1471.85 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	LaserFence          144     1216.11 2544.63 0       0.80    0.61    0       145     2.00  2
	LaserFence          145     1342.97 2745.16 0       -0.86   0.52    0       148     2.00  2
	LaserFence          146     1642.82 3021.15 0       -0.46   0.89    0       67      2.00  2
	LaserFence          147     1551.51 2956.91 0       0.92    0.39    0       146     1.25  2
	LaserFence          148     1401.08 2820.90 0       -0.63   -0.78   0       -1      1.25  2
	SolarPanel          149     1422.66 2284.41 0       -0.00   0.99    0       150     
	SolarPanel          150     1606.50 2357.81 0       0.00    0.99    0       152     
	SolarPanel          151     1468.94 2452.28 0       0.00    0.99    0       150     
	Pylon               152     1719.10 2515.20 255     0.27    -0.96   0       153     
	Pylon               153     2003.18 2321.08 255     0.66    0.75    0       154     
	Pylon               154     2333.39 1970.25 255     0.45    0.89    0       155     
	PylonEnd            155     2674.88 1850.77 255     -0.28   0.96    0       16      
	TrunkPort           156     2747.14 2623.00 0       -0.70   -0.71   1       -1      
	ControlStation      157     2526.88 2262.46 255     -0.67   -0.75   0           -1
	ControlStation      158     2529.81 2591.16 255     0.76    -0.64   0           -1
	ControlStation      159     2182.62 2493.46 255     0.36    0.93    0           -1
	GunTurret           160     1517.95 2949.41 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           161     1408.32 2852.11 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	AITarget            162     3798.56 1356.10 255     1.00    0.00    0       -1    0.00 1     
	AITarget            163     3408.04 1792.58 255     1.00    0.00    0       -1    0.00 1     
	AITarget            164     3233.77 2182.22 255     1.00    0.00    0       -1    0.00 1     
	AITarget            166     2656.73 1467.07 255     1.00    0.00    0       -1    0.00 1     
	AITarget            167     3250.31 1548.31 255     1.00    0.00    0       -1    0.00 1     
	AITarget            168     2127.80 1551.90 255     1.00    0.00    0       -1    0.00 1     
	AITarget            171     1624.69 1453.97 255     1.00    0.00    0       -1    0.00 1     
	AITarget            172     2911.36 1965.75 255     1.00    0.00    0       -1    0.00 1     
	AITarget            173     2532.94 2259.45 255     1.00    0.00    0       -1    0.00 1     
	AITarget            174     2192.00 2492.13 255     1.00    0.00    0       -1    0.00 1     
	AITarget            175     2533.32 2584.42 255     1.00    0.00    0       -1    0.00 1     
	AITarget            176     2703.00 2581.13 255     1.00    0.00    0       -1    0.00 1     
	AITarget            177     1702.80 2662.80 255     1.00    0.00    0       -1    0.00 1     
	AITarget            179     1479.80 2876.88 255     1.00    0.00    0       -1    0.00 1     
	AITarget            180     1593.51 3528.65 255     1.00    0.00    0       -1    0.00 1     
	AITarget            181     1354.54 3731.75 255     1.00    0.00    0       -1    0.00 1     
	AITarget            183     1911.93 3293.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            184     2363.50 3247.56 255     1.00    0.00    0       -1    0.00 1     
	AITarget            186     3154.89 3481.64 255     1.00    0.00    0       -1    0.00 1     
	Tree                188     3911.92 907.35  255     1.00    0.00    0       238.50  3.61    0.94    0.77    7       69120   -13150833   -10196736   0       0       0       
	Tree                189     4386.24 1279.68 255     1.00    0.00    0       233.98  3.61    0.94    0.77    7       40464   -13150833   -10196736   0       0       0       
	Tree                190     2933.12 3759.50 255     1.00    0.00    0       236.26  3.61    0.94    0.77    7       40522   -13150833   -10196736   0       0       0       
	Tree                191     1745.32 3761.35 255     1.00    0.00    0       215.07  3.61    0.94    0.77    7       40592   -13150833   -10196736   0       0       0       
	Tree                192     976.06  673.28  255     1.00    0.00    0       240.82  3.61    0.94    0.77    7       40644   -13150833   -10196736   0       0       0       
