MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	1600
	DefenderPopulationCap	250
	NumPlayers	2
	LevelOptions	trunkportreinforcements 75	
	InvalidCrates	Armour	
	PlayTime	15
	Difficulty	advanced
	AttackingTeams	1 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 5000
	worldSizeZ 5000
	cellSize 22.32
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_earth.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
