MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Effects	snow	
	LevelOptions	trunkportreinforcements 100	
	PlayTime	15
	AttackingTeams	1 2 
	Difficulty	intermediate
	ForceCoop
	CoopGroup1Positions	0 
	CoopGroup2Positions	1 2 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 2549
	worldSizeZ 2549
	cellSize 9.95
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_icecaps.bmp
	wavesColourFile waves_icecaps.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   114   0.00    151   2376  1.22   0.98    146      1      1   1.06     5   AAAABEAABFBKBEAHAAAAAAAAAJAAAAAAAAAAAAAAAAAGBDBEBEBDBMAABFAABAAABEBEBKBJBEBDBEBAAIAAAFBDBLBMBEAAAAADAFAABEBEBEBDBCBIBGBGAABEAABEBFBHBFBJBDBDBFBEAKBKBFBIBHBDBEBEBFBKBDBEBEBEBEBIBJBEBGBJAAAABHBHBNBGBHBLCBBHBNBNBIBJBEBEBFBNBMBEBEBJBEBEBGBGBPBPBLBIBKAABEBHBGBDBFBHDACHBPCDBNBEBJCABOBHBKCBBCBJBGBDBGDBBLDGBOBJBFBFAABLBOBLBEBLCBCFBDBPBGBEBEBFBNBHBFBIBHBGBKBIBHBEBGCBCDCHBHBEBFBDBIBEBKBOCDCBDBCIBHBPBFBDBFBJBEBGBKAOBEBDBEBIBNBFBCBNCKCCBGBFBEBBBJCABLBPCNCFDBBHBKBGAAAAAAAACMCJAAAAAAAFBEBGBJBEBODCCEBPBAAOAAADBHBHBKCCCNBPBHBFBEAAAAAAAAEGDMAAAAAAAABEBDBEBOCCCHCEAJAAAAAAACAMBPCDCCBLBGBGBDBBBJLALOMEGMFPLBKJLAFMBCBEBEBIBIBLBLBJALAAAAAFAGBNDABMBMBEBEAABECPCMFMGJGGGBGDGMHMHBDBBLBEBEBNBICICBAFAAACAIBGBMCGCEBFBDAAAAKPDHDOGFGJGOGDGHGEHCGCEDEMAAAABEBOBMBJAAAAAFAKCDCHCCBGBDBDAAAALJFNGMPPPGIMHMPPPPPPIFHCLIAHAABFBGBJBBABAAAGBDBKCNBGBDBMBEAAAAKMFOGLPPPPPPPPPPPPPPIMIEMHAJAABEBOBJANACAAAIBGBGBLBGBGBJBEAAAAFHFNGFPPPPPPPPPPPPKJGDHGNBAAAABDCDBMAOAFAAALBDCBBMCKBGBEBDBPCMFJGDGKJAPPPPPPPPPPKFHAHHHBEMCNBEBPAPAOACAABBBMBJBEBOBFBFBECHDBLOFBGMJMPPPPPPPPPOPPIHHLHCELCJBCCIBKANABAABBBEBFBIBLBEBFBEAAAAKPENGMPPPPPPPKPJPPPOIBIHLOAAAABGCGBHBPACAAAGBDBEBLCEBLBGBCAAAAKOFAGIPPPPPPLHLBPPPPJBIMLOAAAABGBOBIBJAPAFACAEAMBMBPCABCBDAAAAAACMFBICIKIJIIHBIOJAHJGFLHAAAABKCDCABLBBBFAAAGAABCBJCBBEBEBEBEBEBICLHAIAHOHNICJEIHFMEFCOBDBFCACDBKBEBEBDAAAAABANCDBKBJBMBEBHBDBEBBNHOJOAHDMDMJNJKICLALBEBFBGBIBJBIBJBEAAAAAFBEBNBLBKBNBOBJBEBEBFAGAAAAEFEKAAAAAABEBEBLBJBHBGBGBIBFBEAABCBEBJBPBNBOBHBIBGBEBEBFACAAAACEDAAAAAACBEBHBLBEBLBFBICBBDBEALBGBFBNBNCCBLBFBECABFBFCBBOBFBDBEBDBEBFBGBOCFBFBFCGCABLBLCCBEBHBEBIBMCCCGBLBNBICCBMCMCECCBMBOBKBKBNBKBLCDBKBPBIBIBNBMBKBEAABEBEBIBJBKCBBJCBCACNCDCABJBMBIBEBIBNBKCCBKBNBOBNCDBHCDCMBGBJABBEBICABLBDCIBFCFBGBOBGANBBBDAOBGBHCDBNBLBECEBICECJCFBEBKBFBGADAABHBLBLBEBNBEBIAPALAAABACADACAAALBCBDBCBFCPCPBMBLBKBOCBBGBFAAAAAKBGBKBFBHBLBGAHAAAAAAAAAAAAAAAAAFAKALANBGBCBEBKBMBEBKBFAAAAAABEBEBDBIBEBBAHAAAAAAAAAAAAAAAAAAAAAAAAABACBFBCAABDBDBLAAAAAA
	  1097   0.00   1056    539  2.12   1.00    147      2      4   1.00     4   PPPPPPPPPPAAAAAAPPPPPPPPPPPKPPPPPPNJPPPPAAAAAAOINHNJNJNGNMPPPPPPNKOAAAAAAAAAMPNNOENNNPOCPOPPPPNLNNAAAAAAAANDNONKOBNNNMPPPPPPMDLMMIAFAAAAMINBMMMHOGOKPPPPPPNHLAMPAAAAAANKNNNENAAAAAAAPDPLNKNBNDAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAANKMNNHAAAAAAAAOFOCOMNMOLAAAAAAMNLMLLNCPPPPPPNKNONCLJNIAAAAAANKNIMLNHPPPLPPNHNNNOMMNGAAAAAANNMONGOEPPPPPPMLNJNFNJODAAAAAAOANBNHNNPPPPPOPPPPPPMPLCAAAAAAOINONMOCPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPP
	  1251   0.00   1207    245  3.02   1.00    176      1      1   1.00     3   PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP
	  1896   0.00   1969    434  1.20   1.49     86      0      4   1.00     0
	   345   0.00   1898    434  1.20   1.49     62      0      6   1.00     0
	   361   0.00    362    434  1.20   1.49     62      0      7   1.00     0
	  1908   0.00    342    434  1.20   1.49     78      0     19   1.00     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	1112.1  129.2 1084.5   14.6      3   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.08   0.15   0.99     2.00   1.30   1.00
	 -0.75   0.57   0.32     0.89   0.89   0.99
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	Wall                0       1553.00 1615.65 255     -0.03   1.00    0         -1
	Wall                1       1625.94 1588.31 255     0.70    0.72    0         -1
	Wall                2       1656.55 1516.77 255     1.00    0.00    0         -1
	GunTurret           3       1449.16 1773.94 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           4       1555.64 1778.98 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           8       1157.03 1766.93 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           9       1230.10 1772.28 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           10      1289.25 1778.07 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           12      1813.40 1473.88 255     1.00    0.02    0       0   0.00 0.00 0.00 0.00 
	GunTurret           13      1655.03 1612.65 255     0.58    0.81    0       3   0.00 0.00 0.00 0.00 
	GunTurret           16      1814.74 1192.26 255     1.00    0.02    0       0   0.00 0.00 0.00 0.00 
	GunTurret           17      1808.59 1273.04 255     1.00    0.02    0       0   0.00 0.00 0.00 0.00 
	GunTurret           18      1813.13 1116.98 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           19      1520.23 893.52  255     -0.09   -1.00   0       0   0.00 0.00 0.00 0.00 
	GunTurret           20      1420.98 886.52  255     0.06    -1.00   0       0   0.00 0.00 0.00 0.00 
	GunTurret           22      1225.25 892.90  255     0.01    -1.00   0       0   0.00 0.00 0.00 0.00 
	GunTurret           23      1154.76 895.95  255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           24      1388.36 1052.62 255     0.01    -1.00   0       3   0.00 0.00 0.00 0.00 
	GunTurret           26      940.60  1124.35 255     -1.00   -0.03   0       0   0.00 0.00 0.00 0.00 
	GunTurret           27      936.88  1190.42 255     -1.00   0.07    0       0   0.00 0.00 0.00 0.00 
	GunTurret           28      924.73  1404.08 255     -1.00   0.02    0       0   0.00 0.00 0.00 0.00 
	GunTurret           29      1094.73 1366.04 255     -1.00   0.07    0       3   0.00 0.00 0.00 0.00 
	GunTurret           31      926.93  1487.06 255     -1.00   -0.03   0       0   0.00 0.00 0.00 0.00 
	GunTurret           32      934.07  1555.09 255     -1.00   0.07    0       0   0.00 0.00 0.00 0.00 
	GunTurret           7       1405.14 1612.15 255     0.00    1.00    0       3   0.00 0.00 0.00 0.00 
	GunTurret           14      1677.97 1031.88 255     0.64    -0.77   0       3   0.00 0.00 0.00 0.00 
	GunTurret           15      1090.55 1060.04 255     -0.78   -0.63   0       3   0.00 0.00 0.00 0.00 
	Wall                30      1658.58 1106.62 255     1.00    -0.00   0         -1
	Wall                33      1604.68 1049.51 255     0.02    -1.00   0         -1
	Wall                34      1520.54 1049.96 255     -0.03   -1.00   0         -1
	Wall                36      1185.76 1061.23 255     -0.03   -1.00   0         -1
	Wall                38      1115.96 1093.94 255     -0.74   -0.67   0         -1
	Wall                39      1088.25 1167.21 255     -1.00   0.01    0         -1
	Wall                40      1110.73 1481.94 255     -1.00   0.01    0         -1
	Wall                41      1112.69 1565.51 255     -1.00   0.01    0         -1
	Wall                42      1172.11 1623.50 255     -0.01   1.00    0         -1
	Wall                43      1257.19 1623.92 255     -0.01   1.00    0         -1
	Wall                25      1660.33 1190.55 255     1.00    -0.00   0         -1
	StaticShape         44      1120.80 1617.95 255     -0.18   -0.98   0         1.10  temple2.shp  
	StaticShape         45      1652.07 1057.16 255     -0.18   -0.98   0         1.10  temple2.shp  
	GunTurret           46      1094.78 1636.38 255     -0.75   0.66    0       3   0.00 0.00 0.00 0.00 
	StaticShape         48      1110.10 1436.97 255     -0.18   -0.98   0         0.86  temple2.shp  
	Wall                52      1610.49 1143.26 255     1.00    -0.00   0         -1
	Wall                53      1569.95 1095.10 255     0.02    -1.00   0         -1
	Wall                54      1216.23 1115.72 255     0.02    -1.00   0         -1
	Wall                55      1214.47 1543.12 255     0.02    -1.00   0         -1
	Wall                56      1564.47 1552.05 255     0.02    -1.00   0         -1
	Wall                57      1607.94 1512.24 255     1.00    -0.00   0         -1
	Wall                58      1172.79 1499.89 255     1.00    -0.00   0         -1
	Wall                59      1175.65 1162.17 255     1.00    -0.00   0         -1
	PulseBomb           60      1371.50 1323.74 0       1.00    0.00    0       900.00  62  61  63  
	ControlStation      61      1552.36 1498.58 0       0.66    -0.75   0           -1
	ControlStation      62      1554.64 1152.26 0       -0.51   -0.86   0           -1
	ControlStation      63      1235.76 1476.87 0       0.70    0.72    0           -1
	GunTurret           64      1562.48 1198.63 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           65      1502.26 1155.07 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           66      1244.18 1170.94 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           67      1220.72 1195.75 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           68      1281.20 1462.96 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           69      1238.22 1421.31 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           70      1517.91 1492.49 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           71      1566.77 1444.43 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	TrunkPort           73      509.90  617.95  1       0.76    0.64    1       -1      
	TrunkPort           74      531.06  2012.00 1       0.73    -0.68   1       -1      
	TrunkPort           75      2114.94 2145.98 2       -0.77   -0.64   1       -1      
	TrunkPort           76      2086.39 495.96  2       -0.87   0.49    1       -1      
	StaticShape         77      1091.48 1295.30 255     -0.18   -0.98   0         0.86  temple2.shp  
	StaticShape         47      1313.39 1060.25 255     -0.18   -0.98   0         0.86  temple2.shp  
	StaticShape         78      1472.20 1046.17 255     -0.18   -0.98   0         0.86  temple2.shp  
	StaticShape         35      1666.76 1236.59 255     -0.18   -0.98   0         0.86  temple2.shp  
	StaticShape         37      1657.23 1390.17 255     -0.18   -0.98   0         0.86  temple2.shp  
	Wall                50      1656.54 1433.19 255     1.00    0.00    0         -1
	Wall                51      1270.11 1058.48 255     -0.03   -1.00   0         -1
	Wall                79      1089.26 1250.54 255     -1.00   0.01    0         -1
	GunTurret           80      1087.17 900.36  255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           81      1814.06 1627.25 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           83      922.51  1029.08 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	StaticShape         5       1301.42 1620.02 255     -0.18   -0.98   0         0.86  temple2.shp  
	StaticShape         49      1506.23 1614.24 255     -0.18   -0.98   0         0.86  temple2.shp  
	GunTurret           84      1651.38 1766.52 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           85      1814.43 1553.61 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           87      1658.03 1317.81 255     0.00    1.00    0       3   0.00 0.00 0.00 0.00 
	GunTurret           86      1610.04 902.52  255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	TrunkPort           88      2014.77 2200.98 2       -0.77   -0.64   1       -1      
	TrunkPort           89      2171.55 612.99  2       -0.87   0.49    1       -1      
	TrunkPort           90      602.94  526.18  1       0.76    0.64    1       -1      
	TrunkPort           91      595.03  2115.56 1       0.73    -0.68   1       -1      
	AITarget            6       2008.50 2109.98 255     1.00    0.00    0       -1    0.00 1     
	AITarget            11      2207.77 1376.07 255     1.00    0.00    0       -1    0.00 1     
	AITarget            21      2075.14 583.40  255     1.00    0.00    0       -1    0.00 0     
	AITarget            72      2176.99 1089.39 255     1.00    0.00    0       -1    0.00 1     
	AITarget            82      1306.00 396.04  255     1.00    0.00    0       -1    0.00 1     
	AITarget            92      605.66  612.11  255     1.00    0.00    0       -1    0.00 1     
	AITarget            93      357.42  1370.61 255     1.00    0.00    0       -1    0.00 1     
	AITarget            94      634.37  2034.86 255     1.00    0.00    0       -1    0.00 1     
	AITarget            95      449.72  1807.09 255     1.00    0.00    0       -1    0.00 1     
	AITarget            96      498.92  868.81  255     1.00    0.00    0       -1    0.00 0     
	AITarget            97      955.24  425.31  255     1.00    0.00    0       -1    0.00 1     
	AITarget            98      1794.53 491.59  255     1.00    0.00    0       -1    0.00 1     
	AITarget            99      2098.01 1755.16 255     1.00    0.00    0       -1    0.00 1     
	AITarget            101     1443.59 2224.32 255     1.00    0.00    0       -1    0.00 1     
	AITarget            102     1003.11 2118.18 255     1.00    0.00    0       -1    0.00 1     
	AITarget            100     1391.84 1692.89 255     1.00    0.00    0       -1    0.00 0     
	AITarget            103     1733.95 1374.93 255     1.00    0.00    0       -1    0.00 0     
	AITarget            104     1334.48 973.72  255     1.00    0.00    0       -1    0.00 0     
	AITarget            105     1026.54 1318.36 255     1.00    0.00    0       -1    0.00 0     
	AITarget            106     1067.56 1023.98 255     1.00    0.00    0       -1    0.00 1     
	AITarget            107     1698.53 1017.26 255     1.00    0.00    0       -1    0.00 1     
