MultiwiniaOptions_StartDefinition
	GameTypes	Blitzkrieg 
	PopulationCap	1500
	DefenderPopulationCap	-1
	NumPlayers	3
	LevelOptions	airstrikecapturezones 3	
	Difficulty	intermediate
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4000
	worldSizeZ 4000
	cellSize 12.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_marble.bmp
	wavesColourFile waves_containmentfield.bmp
	waterColourFile water_yellow.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	    58  -5.11    544   1084  4.00   4.00    200      1 2961212   1.00     1   AA
	  1064   0.00   2710   1084  4.00   4.00    200      1 3020590   1.00     1   AA
	  2859  -1.05   1049   1084  4.00   4.00    200      1 3046398   1.00     1   AA
	   567  -5.11    461   2234  1.20   1.00    296      1    674   1.00     0
	    32   0.00   1871    634  4.00   4.00    200      1 3020590   1.00     0
	  2508   0.00   3137    634  4.00   4.00    200      1 1988937   1.00     0
	  2756  -1.58    284    634  4.00   4.00    200      1 2013678   1.00     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	1099.0  123.9 1052.4  291.4      3   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.74   0.56   0.37     0.85   0.85   0.85
	 -0.97   0.00   0.24     2.39   1.63   1.30
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	MultiwiniaZone      0       1664.65 3272.23 0       0.97    0.25    0       100.00   4
	MultiwiniaZone      1       3343.92 1502.98 1       1.00    0.00    0       100.00   5
	MultiwiniaZone      2       782.01  897.49  2       1.00    0.00    0       100.00   5   3
	MultiwiniaZone      3       1180.85 1951.58 255     1.00    0.00    0       100.00   0
	MultiwiniaZone      4       2394.33 2134.68 255     1.00    0.00    0       100.00   1
