MultiwiniaOptions_StartDefinition
	GameTypes	KingOfTheHill
	PopulationCap	-1
	DefenderPopulationCap	-1
	NumPlayers	4
	PlayTime	10
	Difficulty	advanced
	CoopMode
	CoopGroup1Positions	0 2 
	CoopGroup2Positions	1 3 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3000
	worldSizeZ 3000
	cellSize 14.00
	outsideHeight -30.00
	maxHeight 0.00
	landColourFile landscape_mine.bmp
	wavesColourFile waves_generator.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	    92  -5.00     88   1434  1.20   4.00    200      1 276565   1.10     2   AAAAAAAAAAAAAAAAAA
	  1508  -5.00   1458   1434  1.20   4.00    200      1 360735   1.10     2   AAAAAAAAAAAAAAAAAA
	   418  -5.00   1793    744  1.20   4.00    200      1 1146898   1.10     2   AAAAAAAAAAAAAAAAAA
	  1733  -5.00    564    744  1.20   4.00    200      1 1173921   1.10     2   AAAAAAAAAAAAAAAAAA
	  1253  -5.00   1364    344  1.20   4.00    200      1 3338582   1.10     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.86   0.51  -0.04     0.72   0.72   0.62
	 -1.00   0.00   0.07     3.00   2.40   1.00
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	MultiwiniaZone      0       2142.46 2092.18 255     1.00    0.00    0       233.01
	MultiwiniaZone      1       2195.15 1987.54 255     1.00    0.00    0       90.00 
	MultiwiniaZone      2       2198.18 2184.26 255     1.00    0.00    0       90.00 
	MultiwiniaZone      4       2022.22 2090.88 255     1.00    0.00    0       90.00 
	MultiwiniaZone      5       840.79  829.67  255     1.00    0.00    0       220.00
	MultiwiniaZone      6       952.55  836.01  255     1.00    0.00    0       90.00 
	MultiwiniaZone      7       778.05  737.00  255     1.00    0.00    0       90.00 
	MultiwiniaZone      8       777.40  933.11  255     1.00    0.00    0       90.00 
	SpawnPoint          10      2534.67 2157.09 2       -0.90   -0.44   0       
	SpawnPoint          11      2524.86 2036.69 2       -0.77   0.64    0       
	SpawnPoint          12      1812.95 2407.61 3       0.94    -0.34   0       
	SpawnPoint          13      1886.88 2490.05 3       0.58    -0.81   0       
	SpawnPoint          14      491.52  830.62  0       0.90    0.43    0       
	SpawnPoint          15      514.05  942.42  0       0.85    -0.52   0       
	SpawnPoint          16      1117.66 585.33  1       -0.97   0.24    0       
	SpawnPoint          17      1036.08 491.04  1       -0.59   0.81    0       
	RadarDish           18      2205.79 1635.86 255     0.00    1.00    1       1    1    24   
	RadarDish           19      1696.37 2050.87 255     0.99    0.12    1       1    1    23   
	RadarDish           20      691.11  1382.19 255     0.09    -1.00   1       1    1    22   
	RadarDish           21      1286.06 998.92  255     -0.99   0.12    1       1    1    25   
	RadarDish           22      588.21  2005.49 255     0.00    1.00    1       1    1    20   
	RadarDish           23      1009.92 2082.74 255     -1.00   0.07    1       1    1    19   
	RadarDish           24      2193.13 1192.08 255     0.19    -0.98   1       1    1    18   
	RadarDish           25      1944.58 741.28  255     0.96    -0.28   1       1    1    21   
	MultiwiniaZone      26      2136.80 895.92  255     1.00    0.00    0       100.00
	MultiwiniaZone      27      2136.80 895.92  255     1.00    0.00    0       50.00 
	MultiwiniaZone      28      806.94  2103.31 255     1.00    0.00    0       100.00
	MultiwiniaZone      29      806.94  2103.31 255     1.00    0.00    0       50.00 
	SpawnPoint          30      2299.79 791.89  255     -0.83   0.56    0       
	SpawnPoint          31      2003.36 1049.75 255     0.73    -0.68   0       
	SpawnPoint          32      845.98  1946.12 255     -0.32   0.95    0       
	SpawnPoint          33      710.86  2240.93 255     0.66    -0.75   0       
	StaticShape         36      739.62  640.48  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         34      891.64  615.84  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         35      1015.96 698.81  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         37      1058.25 858.76  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         38      977.30  1004.55 255     1.00    0.00    0         1.00  temple2.shp  
