MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1500
	DefenderPopulationCap	-1
	NumPlayers	2
	Difficulty	intermediate
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 5000
	worldSizeZ 5000
	cellSize 18.00
	outsideHeight -6.93
	maxHeight 0.00
	landColourFile landscape_dark.bmp
	wavesColourFile waves_icecaps.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  2907  -5.00   2931   1734  1.20   3.00    200      1 253331   1.00     2   AAAAAAAAAAAAAAAAAA
	   438  -5.00    520   1734  1.20   3.00    200      1 368406   1.00     2   AAAAAAAAAAAAAAAAAA
	  3030  -5.00    759   1234  1.20   3.00    200      1 461871   1.00     2   AAAAAAAAAAAAAAAAAA
	   627  -5.00   3056   1204  1.20   3.00    200      1 491660   1.00     2   AAAAAAAAAAAAAAAAAA
	  1762  -5.00   1776   1734  1.20   3.00    200      1 519533   1.00     2   AAAAAAAAAAAAAAAAAA
	  1541   0.00   4433    384  2.00   2.07    270      1 787819   1.00     0
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.22   0.30   0.93     0.68   0.68   0.68
	 -0.98   0.00  -0.21     3.09   2.57   1.73
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	EscapeRocket        0       1191.29 1200.97 0       1.00    0.00    0           -1   0.00      0     -1      0
	FuelStation         1       1067.49 1271.74 0       -0.87   0.49    0            0 
	FuelStation         2       1321.27 1270.50 0       0.90    0.43    0            0 
	FuelStation         3       1192.42 1056.81 0       0.02    -1.00   0            0 
	FuelGenerator       4       2193.31 1146.24 0       1.00    0.00    0           45 
	FuelGenerator       5       1041.32 2089.87 0       1.00    0.00    0           33 
