MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	LevelOptions	nogunturrets	
	Difficulty	advanced
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4500
	worldSizeZ 4500
	cellSize 16.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_mine.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_launchpad.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1524  -7.10   1427   1574  1.12   4.00    484      1 279392   1.30     2   AAAAAAAAAAAAAAAAAA
	    62  -7.10   3194   1254  1.12   4.00    484      1 380238   1.30     2   AAAAAAAAAAAAAAAAAA
	  3171  -7.10   2547   1254  1.12   4.00    484      1 408644   1.30     2   AAAAAAAAAAAAAAAAAA
	  1368  -7.10     42   1254  1.12   4.00    484      1 453028   1.30     2   AAAAAAAAAAAAAAAAAA
	  3134  -7.10    116   1254  1.12   4.00    484      1 578931   1.30     2   AAAAAAAAAAAAAAAAAA
	    19  -7.10   1139   1254  1.12   4.00    484      1 617217   1.30     2   AAAAAAAAAAAAAAAAAA
	  1478  -7.10   3248   1254  1.12   4.00    484      1 641975   1.30     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	1908.4  388.7  738.1  168.1      3   42.8
	3696.4  310.7 3215.9  162.0      3   40.0
	 699.9  327.9 3780.4  166.7      3   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.79   0.59  -0.15     0.82   0.52   0.28
	 -0.61   0.00  -0.79     5.23   1.80   1.05
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	TrunkPort           0       2466.27 2196.86 1       0.80    -0.61   1       -1      
