MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Difficulty	basic
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 5000
	worldSizeZ 5000
	cellSize 18.00
	outsideHeight -15.39
	maxHeight 0.00
	landColourFile landscape_launchpad.bmp
	wavesColourFile waves_launchpad.bmp
	waterColourFile water_launchpad.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1843  -2.37   1780   1360  1.20   3.00    200      1      1   1.00     2   AAAAAAAAAAAAAAAAAA
	   550  -2.37    766   1320  1.20   3.00    131      1      3   1.00     2   AAAAAAAAAAAAAAAAAA
	  3251  -2.37   1193   1320  1.20   3.00    131      1      5   1.00     2   AAAAAAAAAAAAAAAAAA
	  1441  -2.37   3232   1320  1.20   3.00    200      1     11   1.00     2   AAAAAAAAAAAAAAAAAA
	  3163  -2.37   3025   1320  1.20   3.00    282      1     19   1.00     1   AA
	   162  -2.37   2307   1320  1.20   3.00    127      1     24   1.00     1   AA
	  2042  -2.37    292   1320  1.20   3.00    127      1     25   1.00     1   AA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.07   0.35   0.93     1.00   1.00   1.00
	 -0.04   0.43   0.90     2.00   1.00   0.40
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	EscapeRocket        0       1249.96 1478.99 1       1.00    0.00    0           -1   0.00      0     -1      0
	EscapeRocket        1       3992.08 1910.92 2       1.00    0.00    0           -1   0.00      0     -1      0
	EscapeRocket        2       2157.37 3885.62 0       1.00    0.00    0           -1   0.00      0     -1      0
	FuelGenerator       3       1566.60 3403.11 0       -0.83   0.56    0           15 
