MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	2000
	DefenderPopulationCap	350
	NumPlayers	2
	LevelOptions	trunkportreinforcements 100	
	InvalidCrates	Squad	Airstrike	Nuke	Meteor	
	Difficulty	basic
	AttackingTeams	1 
	OfficialLevel
	PlayTime 15
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3000
	worldSizeZ 3000
	cellSize 22.00
	outsideHeight -10.00
	landColourFile landscape_desert.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   104   0.00     55   2884  1.20   2.50    200      1 197423   0.05     4   AAAAAAAAAAAAAAAAAAAABKHGDIAAAAAAAAHJHMCPAMAABCBEAPBIGOPPPPAAAAAHBEINDPBNDDFCDEBFBEDBLOPPANAABBBKEEEBEJDADFCNBPDNGLHDINAOAABMCBCCBIBNEKDLCKFGFKCHDIIEAAAAKGBHBDBICODGCCCDGBEOCNCNAAAAAAJLBIBDAIBHDAFEBMAAAAAACOBKAAAAIMCKBFAAAACBJJBEAAAAAACOCBAAAAIHGDBFAAAABGKHGOBDAAAACKALBAAAELINBFBEAAAAEOFNBDAAAABKBIAEAAAAILDGBDAAAABHDLBEAACADEBDBBAAAAABKFCBBEAAADDMHKJMKNJIBEAAAACAAAAADNBICPGKHIMIIOIGIGBEAAAAAKBCAAAABDCNGJKNJFIMICBEAHAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	  1361   0.00   1685    284  5.72   1.50    119      1 162445   1.00     3   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	  1622   0.00   1683    284  5.72   1.50    119      1 644702   1.00     3   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	   732   0.00     71   1434  2.63   1.00    106      1 786538   1.00     4   AAAAAAAAAAAAAAMFAALKAAAAAAAAAAAAAAPPPNNOAAPKAAAAONNOAANHNKMCPPPPPLPAOJPPPPPPPPPPPPPPPPPLPJPHNDOKOPOIONPJOOPPOPPNOHOPOFNPPHONPGOFPBNKOFPCOMPHPCOLPNPPPDPPPPPPPPPBPGPDPBPEPBPFONOENNBFBDIKKCPNOOOLOJPDPAONPFPPIPBFBFAAAAAAPHPNOMOMPNPDOONMPPBDAAAAAAAAAAPPOFOKOOOENONENMPNAAAAAAAAAAAAPPPPMPPPPPPFNKPPPPAAAAAAAAAAAAPPPPPPPPPPPHPPPPPPAAAAAAAAAAAABDBEBDKLJDJPBEBDBFAAAAAAAAAAAAAAAAAAAAAAAGBDAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	  1170   0.00    339    544  1.92   1.00    140      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPAAAAPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPBOABEAAPPPPPPPPPPPPPPPPPPPPPPOPKDFHAAMMOHPPPPPPPPPPPPPPPPPPOLMBIDAAKGNEOHPPPPPPPPPPPPPPOPOLMLBAAABENDOPPPPPPPPPPPPPPPODMJBEAAAAMGNNPPPPPPPPPPPPPPPPPBMLAAAAAAMDNCPPPPPPPPPPPPPPPPOHMJAAAAAAAAMOOBPBPPPPPPPPPPPPOFLLAAAAAAAAKJMNNPPMPPPPPPPPPPNPNJAAAAAAAAAALJLLOGPPPPONOLNJKPAAAAAAAAAAAAAAAAMDODOFOBMNLPAAAAAAAAAAAAAAAAAAMFLBLBLLAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.76   0.58  -0.28     0.76   0.76   0.76
	  0.85   0.00   0.52     3.28   1.61   0.85
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	Wall                0       911.57  654.71  255     -0.59   0.81    0         -1
	Wall                3       880.24  588.85  255     1.00    0.00    0         -1
	Wall                4       880.21  507.68  255     1.00    0.00    0         -1
	Wall                5       880.18  426.32  255     1.00    0.00    0         -1
	Wall                8       879.93  344.90  255     1.00    0.00    0         -1
	Wall                10      879.86  263.41  255     1.00    0.00    0         -1
	Wall                13      1035.42 691.20  255     0.80    0.61    0         -1
	Wall                14      1042.42 748.29  255     -0.59   0.81    0         -1
	Wall                16      1076.60 812.08  255     1.00    0.00    0         -1
