MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	2000
	DefenderPopulationCap	275
	NumPlayers	2
	LevelOptions	trunkportreinforcements 100	trunkportarmour 1	
	PlayTime	15
	Difficulty	advanced
	AttackingTeams	1 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 2991
	worldSizeZ 2991
	cellSize 20.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_firetop.bmp
	wavesColourFile waves_icecaps.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   211   0.00    198   2734  1.20   1.00    200      1 226938   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAJAAAAAAAAAAAAAAAAAAAAAAAOCDELPPALAAAAAAAAAAAAAAAABHEGBJFPGJFFAOAAAAAAAAAAAAAAAMFAFCFPECFFDEBHAAAAAAAAAAAAADCBJKGCFCEAGFFGCNAAAAAAAAAAAADBEJFJEPFBEKCPBJAPAAAAAAAAAACKCGFIFFEEEAHCCBBJAGAAAAAAAADKDAEMECCPFBCKBJCICOAGAAAAAABDECFIFDDACDCCBMBICKCKAIAAAABFBEDAGDCNFCCJBEBEBGBNBCAAAABJDLCMDKCGBNBJDABHBJBEBEBDAMAIJADNHGFICJCBBLDICLDECEBEBDAAAABHDIFMEIFNBPCBCKCMDNCNBEAMAAAAAJGOFPDHFJCKBNCABJCFBMBEBAAAAAAABEBNBNBKBEAEAFALBEBDBEAAAA
