MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	2000
	DefenderPopulationCap	-1
	NumPlayers	2
	LevelOptions	trunkportreinforcements 100	trunkportarmour 3	defenderreinforcementtype AirStrike	forceradarteammatch	noradarcontrol	
	InvalidCrates	Squad	Airstrike	Nuke	Meteor	
	PlayTime	15
	Difficulty	intermediate
	AttackingTeams	0 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 5143
	worldSizeZ 5143
	cellSize 17.03
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_dark.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  2408   0.00   2313    514  1.20   1.00    117      2      1   1.00     2   AAAAAAAAAAAAAAAAAA
	  1811  -2.50   1536   1887  3.00   2.00     35      1 345406   0.00     2   AAAAAAAAAAAAAAAAAA
	  2867   0.00   2846    124  1.20   1.00     55      2      2   1.00     2   AAAAAAAAAAAAAAAAAA
	  2377   0.00   2863    124  1.20   1.00     48      2      2   1.00     2   AAAAAAAAAAAAAAAAAA
	  2431   0.00   2567    424  4.00   0.00    106      2      1   1.00     3   ANBEBEPPNBAAAABEBEBEPPPPAAAAAABEBEPPPPAAAAAABEBEPPPPAAAAAABDBEPPPPAAAAAABDBEPPPPAAAAAABDBFPPPPAAAA
