MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	1500
	DefenderPopulationCap	200
	NumPlayers	4
	LevelOptions	trunkportreinforcements 60	trunkportarmour 3	
	InvalidCrates	Armour	
	PlayTime	20
	Difficulty	advanced
	AttackingTeams	2 3 
	ForceCoop
	CoopGroup1Positions	0 1 
	CoopGroup2Positions	2 3 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 7000
	worldSizeZ 7000
	cellSize 26.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_icecaps.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  2210  -4.38   2083   1494  1.58   6.07    248      1 364093   1.00     2   AAAAAAAAAAAAAAAAAA
	   914  -4.38   4863    784  1.58   6.07    248      1 935937   1.00     2   AAAAAAAAAAAAAAAAAA
	  4944  -4.38   4430    784  1.58   6.07    248      1 996453   1.00     2   AAAAAAAAAAAAAAAAAA
	  3176  -4.38   3510    784  1.58   6.07    248      1  99365   1.00     2   AAAAAAAAAAAAAAAAAA
	  3760 -25.93   3598   1534  1.20   2.73    192      1      1   1.00     3   AAGODKEEAAAAAAAABEEKELAAAAAAAAAAAKHHEDAAAAAAAAAAEEEKAAAAAAAAAAGNGPAAAAPPAABEDNEPHEDAAAAAAAAAECEMFI
	  5401  -4.38   2776   1494  1.58   6.07    248      1 3365853   1.00     2   AAAAAAAAAAAAAAAAAA
	  1996  -4.38   4250   1494  1.58   6.07    248      1 3704782   1.00     2   AAAAAAAAAAAAAAAAAA
	    86  -4.38   2931   1494  1.58   6.07    248      1 660770   1.00     2   AAAAAAAAAAAAAAAAAA
	  2973   0.00   1628    384  1.20   1.00    303      1 694804   1.00     0
	  2698   0.00   4712    724  1.66   1.00    119      1      1   1.00     4   AAAAAAPPPPPPPPAAPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPJPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAABFPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAACPPPPPPPPPPPPPPPPPPPPPPPPPPAAAOBGPPPPPPPPPPPPPPPPPPPPPPPPAABAKCJGMANDPPPPPPPPPPPPPPPPPPAAAABDBEHIKBOGPPPPPPPPPPPPPPPPAAAABEFLINLFNMPPPPPPPPPPAAAAAAAAAAKMLNKEJPNPOLPPPPPPPPAAAAAAAAAAJLNJOEPFPIPIPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPAAAAAAAAAAAA
	  2639   0.00   4239    724  2.11   1.00    169      1      1   1.00     4   AAAAAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPFPJPHPBPPPPAAAAAAAAAAPPPPPPPPNJNOOEOKPPPPPPAAAAAAAABAPPPPPPLFLPMHNIPPPPPPAAAAAAAAAAAAPPPPGPKJKHLBPPPPAAAAAAAAAAAAAAPPPLJCJEIKIFPFPPAAAAAA
	  2724   0.00   5054    164  0.87   2.30     89      1 2545589   1.15     3   AAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAAAAAAAAAAA
	  2711   0.00   5215    164  0.87   2.30     89      1 2545589   1.15     3   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAPPPPPPPPAAAAAAAAAAAAAAAA
