MultiwiniaOptions_StartDefinition
	GameTypes	none
	PopulationCap	2000
	NumPlayers	2
	LevelOptions	trunkportreinforcements 250	defenderreinforcementtype Armour	
	Difficulty	advanced
	AttackingTeams	0 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4000
	worldSizeZ 4000
	cellSize 20.00
	outsideHeight -10.00
	landColourFile landscape_default.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1282   0.00     84   1754  1.20   1.00    200      1 221388   1.00     4   AAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAPBCACBACAAAAAAAAAAAAEAJAAAAAAADDIBCBBDHAMAGBJAAAGDFCNAFAAAAALEOAPCDDOAIBOAPAOAPDKFJBEANAAAKCHBIAOECAKCDBCAJABBGBLBNAAAAAFAPCBCJGGBDALBJBCBFAODOBGAAAAAAAIANCEHFFACDBEAFAPAHGHDIAAAAAABOBPBCCBCIDIEKCDBEACALHBAAAAAAAPDBBPAEBACDAOAMDBDKCDAMAAAAAACDEACDBFCCBPALALAGALBHAMAAAAAAAFBHCMCDCBCCBBALCHBABHAHAAAAAAAACNBODEECAHAMBDAJBBAMAAAAAAAAAAACBNBOAPAKDHAKAPPPPPAAAAAAAAAAAAAAAGAGAKAFAAPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAPPAAAAAAAA
	  1598   0.00   1458   1084  1.20   1.00    200      1 281863   1.00     3   AAAAAHBOBEAAAAPPAAAACDBIAAAAAAAAAABPAKAAAAAAAAAABIBAAAAAAAAAAACABCAEAAAAAAAABEEHACAAAAAAAADHANAEAD
