MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Blitzkrieg 
	PopulationCap	1400
	DefenderPopulationCap	-1
	NumPlayers	4
	Effects	snow	
	LevelOptions	airstrikecapturezones 3	
	Difficulty	advanced
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4000
	worldSizeZ 4000
	cellSize 20.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_icecaps.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   100   0.00     63    934  1.20   1.00    200      1 1368750   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPBDPPPPAAAAAAAAAAPPPPCFBDCIBDCOBFPPPPPPAAAAAAPPPPPPCCCNCLBNDPCMPPPPPPAAAAAAPPPPBHDMBIBFCLCNCAPPPPAAAAAAAAPPPPBKBECBCNCGCEBHPPPPPPAAAAAAPPPPPPBPFADBCECIDODAPPPPAAAAAAAAPPPPEACJBGCBCFDPBGAAAAAAAAAAAAAAPPPPBEBGCCBJEMBFAAAAAAAAAAAAAAPPPPPPBFCMFGACAAAAAAAAAAAAAAAAAAPPPPPPBHBGAAAAAAAAAAAAAAAAAAAAAAAAAABDAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
