MultiwiniaOptions_StartDefinition
	GameTypes	CaptureTheStatue 
	PopulationCap	1500
	DefenderPopulationCap	-1
	NumPlayers	3
	LevelOptions	instantspawnpointcapture	
	Difficulty	intermediate
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 2999
	worldSizeZ 2999
	cellSize 16.00
	outsideHeight -18.32
	maxHeight 0.00
	landColourFile landscape_icecaps.bmp
	wavesColourFile waves_containmentfield.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   786  -5.00    981    653  1.20   2.00     63      1 331208   1.00     2   AAAAAAAAAAAAAAAAAA
	  1153  -5.00   1224    808  1.20   2.00     63      1 457677   1.00     2   AAAAAAAAAAAAAAAAAA
	   211  -5.00   1076    808  1.20   2.00     63      1 1568374   1.00     2   AAAAAAAAAAAAAAAAAA
	   773  -5.00    462    808  1.20   2.00     63      1 1848569   1.00     2   AAAAAAAAAAAAAAAAAA
	   531  -5.00   1514    937  1.20   2.00     63      1  25883   1.00     2   AAAAAAAAAAAAAAAAAA
	  1272  -5.00    579    937  1.20   2.00     63      1 151536   1.00     2   AAAAAAAAAAAAAAAAAA
	   166  -5.00    525    937  1.20   2.00     63      1 312026   1.00     2   AAAAAAAAAAAAAAAAAA
	  1372  -5.00    320    808  1.20   2.00    331      1 382466   1.00     0
	  1183  -5.00   1642    808  1.20   2.00    422      1 398260   1.00     0
	  1557  -5.00   1190    808  1.20   2.00    320      1 420468   1.00     0
	     0  -5.00    527    808  1.20   2.00    489      1 843461   1.00     0
	   837  -5.00    259    628  1.20   2.00     63      1 634721   1.00     2   AAAAAAAAAAAAAAAAAA
	    23  -5.00     17    996  3.07   2.00     47      1 147005   1.00     3   PPPPPPAAAAAAAAPPPPPPPPAAAAAAAAPPPPPPPPAAAAAAAAPPPPPPPPAAAAAAAAPPPPPPPPAAAAPPPPPPPPPPAAAAPPPPPPPPPP
