MultiwiniaOptions_StartDefinition
	GameTypes	CaptureTheStatue 
	PopulationCap	2000
	NumPlayers	4
	Effects	lightning 
	LevelOptions	instantspawnpointcapture	
	Difficulty	advanced
	CoopMode
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3428
	worldSizeZ 3428
	cellSize 16.00
	outsideHeight -21.05
	landColourFile landscape_dark.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1250  -5.00   1329    842  2.00   6.00    200      1 107595   1.00     2   AAAAAAAAAAAAAAAAAA
	   755  -5.00   1414    842  2.00   6.00    200      1 281596   1.00     2   AAAAAAAAAAAAAAAAAA
	  1840  -5.00    966    842  2.00   6.00    200      1 556493   1.00     2   AAAAAAAAAAAAAAAAAA
	  1627  -5.00   1344    611  2.00   6.00    208      1 735459   1.00     2   AAAAAAAAAAAAAAAAAA
	  1325  -5.00   1799    842  2.00   6.00    283      1 1241418   1.00     2   AAAAAAAAAAAAAAAAAA
	  1475  -5.00   1811    310  2.00   6.00    158      1 1487325   1.00     2   AAAAAAAAAAAAAAAAAA
	  1027  -5.00    669    842  2.00   6.00    200      1 491098   1.00     2   AAAAAAAAAAAAAAAAAA
	  1280  -5.00   1170    559  2.00   6.00    137      1 543711   1.00     2   AAAAAAAAAAAAAAAAAA
	  1551  -5.00    706    653  2.00   6.00    200      1 351335   1.00     2   AAAAAAAAAAAAAAAAAA
	  1714  -5.00    241    842  2.00   6.00    200      1 600116   1.00     2   AAAAAAAAAAAAAAAAAA
	   724  -5.00    934    757  2.00   6.00    166      1 863267   1.00     2   AAAAAAAAAAAAAAAAAA
	   306  -5.00    604    757  2.00   6.00    141      1 111158   1.00     2   AAAAAAAAAAAAAAAAAA
	   779  -5.00   1827   1013  2.00   6.00    200      1 1185420   1.00     2   AAAAAAAAAAAAAAAAAA
	   647  -5.00   2308    757  2.00   6.00    120      1 272300   1.00     2   AAAAAAAAAAAAAAAAAA
	  2126  -5.00   1389    542  2.00   6.00    189      1 2552067   1.00     2   AAAAAAAAAAAAAAAAAA
	  1765  -5.00   1632    919  2.00   6.00    200      1 2750410   1.00     2   AAAAAAAAAAAAAAAAAA
	  2271  -5.00   2142    619  2.00   6.00    200      1 2836011   1.00     2   AAAAAAAAAAAAAAAAAA
	  2048  -5.00   1464    562  2.00   6.00    153      1 838510   1.00     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.89   0.39   0.23     0.45   0.45   0.45
	  0.09   0.00  -1.00     1.08   0.72   0.56
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	MultiwiniaZone      0       1512.76 1073.97 0       1.00    0.00    0       100.00
	MultiwiniaZone      1       2287.18 1478.47 1       1.00    0.00    0       100.00
	MultiwiniaZone      2       1804.65 2270.18 2       1.00    0.00    0       100.00
	MultiwiniaZone      3       1083.83 1805.97 3       1.00    0.00    0       100.00
	MultiwiniaZone      4       2167.49 604.08  255     1.00    0.00    0       50.00 
	MultiwiniaZone      7       682.36  980.47  255     1.00    0.00    0       50.00 
	MultiwiniaZone      8       1003.29 2693.64 255     1.00    0.00    0       50.00 
	MultiwiniaZone      9       2560.39 2406.90 255     1.00    0.00    0       50.00 
	MultiwiniaZone      6       1605.58 1676.48 255     1.00    0.00    0       63.38 
	AITarget            10      1064.36 1820.16 255     1.00    0.00    0       24    0.00 1     
	AITarget            11      1517.31 984.44  255     1.00    0.00    0       -1    0.00 1     
	AITarget            12      2292.11 1477.93 255     1.00    0.00    0       25    0.00 1     
	AITarget            13      1805.81 2266.97 255     1.00    0.00    0       -1    0.00 1     
	AITarget            14      1605.40 1693.38 255     1.00    0.00    0       -1    0.00 1     
	AITarget            15      1008.39 2696.77 255     1.00    0.00    0       -1    0.00 1     
	AITarget            16      1277.13 2328.33 255     1.00    0.00    0       -1    0.00 1     
	AITarget            17      1626.93 2028.09 255     1.00    0.00    0       -1    0.00 1     
	AITarget            18      1426.33 1708.10 255     1.00    0.00    0       -1    0.00 1     
	AITarget            19      1578.97 1389.29 255     1.00    0.00    0       -1    0.00 1     
	AITarget            20      1850.32 1649.73 255     1.00    0.00    0       -1    0.00 1     
	AITarget            21      1927.24 999.16  255     1.00    0.00    0       -1    0.00 1     
	AITarget            22      2157.57 601.44  255     1.00    0.00    0       -1    0.00 1     
	AITarget            23      689.63  983.61  255     1.00    0.00    0       -1    0.00 1     
	AITarget            24      1019.04 1315.85 255     1.00    0.00    0       10    0.00 1     
	AITarget            25      2286.12 2134.92 255     1.00    0.00    0       12    0.00 1     
	AITarget            26      2556.62 2400.68 255     1.00    0.00    0       -1    0.00 1     
	SpawnPoint          27      983.28  1863.72 3       1.00    0.00    0       
	SpawnPoint          28      982.12  1760.70 3       1.00    0.00    0       
	SpawnPoint          29      1751.73 2353.28 2       0.02    -1.00   0       
	SpawnPoint          30      1858.02 2355.36 2       0.02    -1.00   0       
	SpawnPoint          31      2340.44 1522.84 1       -1.00   -0.09   0       
	SpawnPoint          32      2348.64 1414.79 1       -1.00   0.04    0       
	SpawnPoint          33      1567.90 983.03  0       -0.03   1.00    0       
	SpawnPoint          34      1444.82 997.81  0       0.02    1.00    0       
	SpawnPointMaster    35      1222.86 446.53  255     1.00    0.00    0       34    33    28    27    30    29    32    31    
	SpawnPopulationLock 36      1505.37 1083.93 255     1.00    0.00    0       400.14   200   
	SpawnPopulationLock 37      1139.27 1798.05 255     1.00    0.00    0       400.14   200   
	SpawnPopulationLock 38      1786.60 2216.62 255     1.00    0.00    0       400.14   200   
	SpawnPopulationLock 39      2228.84 1481.76 255     1.00    0.00    0       400.14   200   
	SpawnPopulationLock 40      1662.37 1668.99 255     1.00    0.00    0       400.14   300   
	SpawnPopulationLock 41      2183.38 613.31  255     1.00    0.00    0       400.14   100   
	SpawnPopulationLock 42      653.99  952.67  255     1.00    0.00    0       400.14   100   
	SpawnPopulationLock 43      1043.12 2657.24 255     1.00    0.00    0       400.14   100   
	SpawnPopulationLock 44      2513.82 2377.75 255     1.00    0.00    0       400.14   100   
	Tree                45      2361.76 2328.72 255     1.00    0.00    0       116.67  1.00    0.76    0.80    5       0       -1          -1          0       0       1       
	Tree                46      2391.29 2303.02 255     1.00    0.00    0       108.24  1.00    0.76    0.80    5       10409   -1          -1          0       0       1       
	Tree                47      2391.83 2336.78 255     1.00    0.00    0       120.28  1.00    0.76    0.80    5       10431   -1          -1          0       0       1       
	Tree                48      2419.40 2288.49 255     1.00    0.00    0       108.80  1.00    0.76    0.80    5       10440   -1          -1          0       0       1       
	Tree                49      2445.49 2239.18 255     1.00    0.00    0       132.32  1.00    0.76    0.80    5       10449   -1          -1          0       0       1       
	Tree                50      2471.80 2203.98 255     1.00    0.00    0       120.84  1.00    0.76    0.80    5       10458   -1          -1          0       0       1       
	Tree                51      2503.92 2214.59 255     1.00    0.00    0       109.36  1.00    0.76    0.80    5       10470   -1          -1          0       0       1       
	Tree                52      2481.88 2259.77 255     1.00    0.00    0       132.88  1.00    0.76    0.80    5       10479   -1          -1          0       0       1       
	Tree                53      2456.07 2288.38 255     1.00    0.00    0       132.88  1.00    0.76    0.80    5       10479   -1          -1          0       0       1       
	Tree                54      2433.19 2342.26 255     1.00    0.00    0       121.40  1.00    0.76    0.80    5       10489   -1          -1          0       0       1       
	Tree                55      2523.07 2261.32 255     1.00    0.00    0       134.00  1.00    0.76    0.80    5       10540   -1          -1          0       0       1       
	Tree                56      981.42  2378.03 255     1.00    0.00    0       102.03  1.00    0.76    0.80    5       11328   -1          -1          0       0       1       
	Tree                57      1020.70 2427.14 255     1.00    0.00    0       102.03  1.00    0.76    0.80    5       11328   -1          -1          0       0       1       
	Tree                58      1057.75 2443.50 255     1.00    0.00    0       125.55  1.00    0.76    0.80    5       11337   -1          -1          0       0       1       
	Tree                59      1093.48 2458.39 255     1.00    0.00    0       125.55  1.00    0.76    0.80    5       11337   -1          -1          0       0       1       
	Tree                60      1146.44 2463.18 255     1.00    0.00    0       125.55  1.00    0.76    0.80    5       11337   -1          -1          0       0       1       
	Tree                61      1153.69 2502.67 255     1.00    0.00    0       114.07  1.00    0.76    0.80    5       11346   -1          -1          0       0       1       
	Tree                62      1170.07 2538.54 255     1.00    0.00    0       114.07  1.00    0.76    0.80    5       11346   -1          -1          0       0       1       
	Tree                63      1236.92 2532.11 255     1.00    0.00    0       114.07  1.00    0.76    0.80    5       11346   -1          -1          0       0       1       
	Tree                64      1230.89 2604.50 255     1.00    0.00    0       102.59  1.00    0.76    0.80    5       11355   -1          -1          0       0       1       
	Tree                65      1185.61 2571.60 255     1.00    0.00    0       115.81  1.00    0.76    0.80    5       11667   -1          -1          0       0       1       
	Tree                66      1195.87 2472.07 255     1.00    0.00    0       105.71  1.00    0.76    0.80    5       11676   -1          -1          0       0       1       
	Tree                67      1129.85 2460.46 255     1.00    0.00    0       95.61   1.00    0.76    0.80    5       11685   -1          -1          0       0       1       
	Tree                68      1126.94 2488.70 255     1.00    0.00    0       116.30  1.00    0.76    0.80    5       11694   -1          -1          0       0       1       
	Tree                69      1075.81 2481.41 255     1.00    0.00    0       106.20  1.00    0.76    0.80    5       11706   -1          -1          0       0       1       
	Tree                70      1085.25 2389.82 255     1.00    0.00    0       96.10   1.00    0.76    0.80    5       11715   -1          -1          0       0       1       
	Tree                71      1006.20 2374.37 255     1.00    0.00    0       116.79  1.00    0.76    0.80    5       11725   -1          -1          0       0       1       
	Tree                72      1000.75 2408.73 255     1.00    0.00    0       106.69  1.00    0.76    0.80    5       11734   -1          -1          0       0       1       
	Tree                73      969.69  2393.42 255     1.00    0.00    0       96.59   1.00    0.76    0.80    5       11746   -1          -1          0       0       1       
	Tree                74      975.09  2341.00 255     1.00    0.00    0       96.59   1.00    0.76    0.80    5       11746   -1          -1          0       0       1       
	Tree                75      1046.46 2338.13 255     1.00    0.00    0       117.28  1.00    0.76    0.80    5       11755   -1          -1          0       0       1       
	Tree                76      1288.76 2561.74 255     1.00    0.00    0       117.77  1.00    0.76    0.80    5       11786   -1          -1          0       0       1       
	Tree                77      1286.27 2623.10 255     1.00    0.00    0       107.67  1.00    0.76    0.80    5       11795   -1          -1          0       0       1       
	Tree                78      1260.87 2659.73 255     1.00    0.00    0       97.58   1.00    0.76    0.80    5       11804   -1          -1          0       0       1       
	Tree                79      807.51  1200.31 255     1.00    0.00    0       122.39  1.00    0.76    0.80    5       13189   -1          -1          0       0       1       
	Tree                80      835.64  1150.22 255     1.00    0.00    0       111.16  1.00    0.76    0.80    5       13199   -1          -1          0       0       1       
	Tree                81      865.43  1128.52 255     1.00    0.00    0       99.94   1.00    0.76    0.80    5       13211   -1          -1          0       0       1       
	Tree                82      835.57  1079.69 255     1.00    0.00    0       122.93  1.00    0.76    0.80    5       13220   -1          -1          0       0       1       
	Tree                83      878.00  1063.89 255     1.00    0.00    0       111.71  1.00    0.76    0.80    5       13229   -1          -1          0       0       1       
	Tree                84      898.48  1020.25 255     1.00    0.00    0       100.48  1.00    0.76    0.80    5       13241   -1          -1          0       0       1       
	Tree                85      924.33  996.04  255     1.00    0.00    0       123.48  1.00    0.76    0.80    5       13251   -1          -1          0       0       1       
	Tree                86      880.68  938.26  255     1.00    0.00    0       112.25  1.00    0.76    0.80    5       13260   -1          -1          0       0       1       
	Tree                87      852.10  978.96  255     1.00    0.00    0       101.03  1.00    0.76    0.80    5       13269   -1          -1          0       0       1       
	Tree                88      830.37  1024.03 255     1.00    0.00    0       112.80  1.00    0.76    0.80    5       13290   -1          -1          0       0       1       
	Tree                89      881.65  1104.91 255     1.00    0.00    0       113.35  1.00    0.76    0.80    5       13321   -1          -1          0       0       1       
	Tree                90      787.19  1105.30 255     1.00    0.00    0       102.12  1.00    0.76    0.80    5       13330   -1          -1          0       0       1       
	Tree                91      764.88  1143.20 255     1.00    0.00    0       125.12  1.00    0.76    0.80    5       13339   -1          -1          0       0       1       
	Tree                92      2034.83 780.51  255     1.00    0.00    0       115.53  1.00    0.76    0.80    5       13440   -1          -1          0       0       1       
	Tree                93      2091.57 797.80  255     1.00    0.00    0       115.53  1.00    0.76    0.80    5       13440   -1          -1          0       0       1       
	Tree                94      2120.03 814.45  255     1.00    0.00    0       104.30  1.00    0.76    0.80    5       13449   -1          -1          0       0       1       
	Tree                95      2127.05 828.55  255     1.00    0.00    0       127.30  1.00    0.76    0.80    5       13458   -1          -1          0       0       1       
	Tree                96      2072.78 837.74  255     1.00    0.00    0       116.08  1.00    0.76    0.80    5       13470   -1          -1          0       0       1       
	Tree                97      2024.23 820.28  255     1.00    0.00    0       116.08  1.00    0.76    0.80    5       13470   -1          -1          0       0       1       
	Tree                98      1981.26 798.71  255     1.00    0.00    0       104.85  1.00    0.76    0.80    5       13479   -1          -1          0       0       1       
	Tree                99      1960.96 765.45  255     1.00    0.00    0       104.85  1.00    0.76    0.80    5       13479   -1          -1          0       0       1       
	Tree                100     2006.39 713.96  255     1.00    0.00    0       127.85  1.00    0.76    0.80    5       13489   -1          -1          0       0       1       
	Tree                101     2032.76 708.63  255     1.00    0.00    0       116.62  1.00    0.76    0.80    5       13498   -1          -1          0       0       1       
