MultiwiniaOptions_StartDefinition
	GameTypes	KingOfTheHill 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Effects	SpecialLighting 
	PlayTime	10
	Difficulty	intermediate
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3000
	worldSizeZ 3000
	cellSize 12.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_earth.bmp
	wavesColourFile waves_earth.bmp
	waterColourFile water_icecaps.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   946  -5.00    997   1294  1.20   2.70    200      1     40   1.20     2   AAAAAAAAAAAAAAAAAA
	   317  -5.00   2132    600  1.20   2.70    200      1 302524   1.20     2   AAAAAAAAAAAAAAAAAA
	  2337  -5.00   1404    600  1.20   2.70    200      1 382295   1.20     2   AAAAAAAAAAAAAAAAAA
	  1032  -5.00    137    600  1.20   2.70    200      1 427146   1.20     2   AAAAAAAAAAAAAAAAAA
	  2209  -5.00    186    710  1.20   2.70    200      1 457218   1.20     2   AAAAAAAAAAAAAAAAAA
	    93  -5.00    808    710  1.20   2.70    200      1 521178   1.20     2   AAAAAAAAAAAAAAAAAA
	  1464  -5.00   2290    710  1.20   2.70    200      1 556116   1.20     2   AAAAAAAAAAAAAAAAAA
	   937  -5.00   1278    584  1.20   2.70    242      1 474361   1.20     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	1021.3   99.1 1429.0   92.8      3   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.85   0.52   0.04     0.66   0.66   0.66
	 -0.41   0.30   0.86     0.59   0.59   0.59
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	MultiwiniaZone      0       1594.59 1595.19 255     1.00    0.00    0       160.00
