MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	2
	Difficulty	intermediate
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 3756
	worldSizeZ 3756
	cellSize 27.08
	outsideHeight -26.13
	maxHeight 0.00
	landColourFile landscape_mine.bmp
	wavesColourFile waves_generator.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	   751   0.00   1009   2602  2.52   1.15    521      2 230328   1.17     1   AA
	    42   0.00     60   2260  4.15   0.95     66      2 230442   0.39     1   AA
	  2316   0.00   1186    808  2.75   0.98    543      2 230442   1.17     2   AAAAAAAAAAAAAAAAAA
	  1132   0.00    915   1586  2.88   1.15    235      2 230451   1.17     2   AAAAAAAAAAAAAAAAAA
	  1822   0.00   1856    808  2.75   0.98    523      2 230442   1.17     2   AAAAAAAAAAAAAAAAAA
	  2519   0.00    962    344  5.00   1.00    391      2      1   1.00     2   AAAAPPAAPPPPAAPPAA
	  2715   0.00    961    284  5.00   1.00    475      2 977210   1.00     2   AAAAAAAAAAAAAAAAAA
	  2849   0.00   2756    284  5.00   1.00    155      2 2023112   1.00     2   AAAAAAAAAAAAAAAAAA
	  2976   0.00   2778    284  5.00   1.00    292      2 2099700   1.00     2   AAAAAAAAAAAAAAAAAA
	  2887   0.00   2683    284  5.00   1.00    391      2 2099700   1.00     2   AAAAAAAAAAAAAAAAAA
	  2551   0.00    825    284  5.00   1.00    147      2 977210   1.00     0
	  1431   0.00   2785    284  5.00   1.00    326      2 2023112   1.00     2   AAAAAAAAAAAAAAAAAA
	  1262   0.00   2663    284  5.00   1.00    130      2 2955489   1.00     2   AAAAAAAAAAAAAAAAAA
	   866   0.00   1553    284  5.00   1.00    130      2 3236069   1.00     2   AAAAAAAAAAAAAAAAAA
	  1439   0.00   2137    284  5.00   1.00    424      2 2023112   1.00     2   AAAAAAAAAAAAAAAAAA
