MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Difficulty	intermediate
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4285
	worldSizeZ 4285
	cellSize 18.00
	outsideHeight -26.13
	maxHeight 0.00
	landColourFile landscape_firetop.bmp
	wavesColourFile waves_containmentfield.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1052  23.69   3442    754  1.00   0.40    288      2 1285295   0.00     3   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACPAAAAAAAAPPFKFLCNAAAAAAPPFLFMDBAAAAAAPPPPPPAAAAIIII
	   423  23.69    289    754  1.00   0.40    290      2 484789   0.00     3   PPHBBEBFBCBFAAPPHBBEBCBFBFAAPPGOAAAABFAAAAGPHAAAAAAAAAAABEBEAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAA
	  1036 -15.27    296    754  1.00   0.40     37      2 879794   0.00     4   BDBFBGBEBEBDBHBCBABFAHAAAAAAAABGBGBFBEBEBEBBAPBKBEAJAAAAAAAABFBFBEBDBEBDBFBEBJBBAJAAAAAAAABDBDBCBDBEBCBFBFBFAPACAAAAAAAABDBEBDBDBFBEBDBEALAAAAAAAAAAAABEBDBDBEBEBEBEAAAAAAAAAAANAAAABEBDBEBEBEBDBEAAAAAAAAABAHAAAABEBDBEBDBEBEAFAAAAAAAAAIAAAAAABDBEBEBEBEBDAEAAAAAAADAMAAAAAABDBEBEBEBEBBADAAAAAAAJABAAAAAABEBDBEBCBDALACAAAAAAAAAAADABAABEBEBEBDBEAJAAAAAAAAAAAAADAJAABGBBBEBEBDAKAAAAAHAAAAAAAKABAABIBDBEBDBEAKAAAAAAABACADABAAAABGBEBDBEBDAAAAAAAAAAAAADAAAAAA
