MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Domination 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Difficulty	advanced
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 6000
	worldSizeZ 6000
	cellSize 20.00
	outsideHeight -10.00
	maxHeight 0.00
	landColourFile landscape_firetop.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1447  -5.00   1185   2854  1.40   2.51    482      1 646996   1.10     2   AAAAAAAAAAAAAAAAAA
	  4610  -5.00    746    954  1.40   4.00    799      1 215112   1.74     2   AAAAAAAAAAAAAAAAAA
	  2713  -5.00   4781    954  1.40   4.00    961      1 334928   1.74     2   AAAAAAAAAAAAAAAAAA
	   152  -5.00    279    954  1.40   4.00    870      1 296632   1.74     2   AAAAAAAAAAAAAAAAAA
	  2505  -5.00     10    954  1.40   4.00    456      1 342632   1.74     2   AAAAAAAAAAAAAAAAAA
	  4658  -5.00   3333    954  1.40   4.00    710      1 418371   1.74     2   AAAAAAAAAAAAAAAAAA
	   242  -5.00   3158    954  1.40   4.00    461      1 446494   1.74     2   AAAAAAAAAAAAAAAAAA
	  2426   0.00   2279    744  1.40   1.07    594      1 1479144   1.00     0
	  2726  -5.00   2272    984  1.40   2.41    303      1 1996355   1.30     2   AAAAAAAAAAAAAAAAAA
	  2257  -5.00   2946    984  1.40   2.41    312      1 1353444   1.64     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	2794.4  886.2 2663.7  238.7      2  348.9
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.58   0.62   0.53     0.77   0.77   0.77
	 -0.96   0.00   0.28     1.10   0.85   0.19
Lights_EndDefinition

Buildings_StartDefinition
