MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	1000
	NumPlayers	3
	LevelOptions	trunkportreinforcements 100	defenderreinforcementtype DropShip	attackerreinforcementtype AirStrike	futurewinianteam 2	attackreinforcementoption 2	attackreinforcementoption 1	
	InvalidCrates	SpaceShip	
	Difficulty	intermediate
	AttackingTeams	0 1 
	ForceCoop
	CoopGroup1Positions	0 1 
	CoopGroup2Positions	2 
	OfficialLevel
MultiwiniaOptions_EndDefinition

Landscape_StartDefinition
	worldSizeX 4000
	worldSizeZ 4000
	cellSize 20.00
	outsideHeight -10.00
	landColourFile landscape_icecaps.bmp
	wavesColourFile waves_default.bmp
	waterColourFile water_default.bmp
Landscape_EndDefinition

LandscapeTiles_StartDefinition
	#                            frac  height desired gen         lowland
	# x       y       z    size   dim  scale  height  method seed smooth  guideGrid
	# =============================================================================
	  1984 -10.41   2123   1684  1.00   0.40    300      2 623924   0.00     5   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADAGAIAIAIAEAAPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPHPOPLPIBAAMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEPEPPPPPKPMOEAOAJPKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADAENFMCPGONPNPPPPPPOGOPPIPOPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAKBEBDJIIPMOPBNBOOPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAGBEBEBEIGILKAMHOBNOPPPPPOPPPPPPPOPPAAAAAAAAAAAAAAAAAAAAAAAAAABEBDBEIBJIIIHFJAMNNONMPEPPPJPJPMPPPPAAAAAAAAAAAAAAAAAAAAAAAAAGBEGBFIHCHEHKGMHCKNOMNINNPLPIPAPGPPPPAAAAAAAAAAAAAAAAAAAAAAAAAGMAHBFAGFFJIGJBICJJMGOMOCPDPLPGPJPPPPPPAAAAAAAAAAAAAAAAAAAAAAPINAKBHMJNHHIMKMJAIAKBNHOGNJPPPNPPPPPPPPPPAAAAAAAAAAAAPPAAPPBMPANNKAJFICJAKAJPJAHFHMKKMGMCOAPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPJOCLOKLJDHLLDLDLAMEHFMMLLOIPGPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPNIMDJBHOIALJKJJKMHPAMKPEPPPPPPPPAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPODNAJPHPJFKLMAMBPAMAKINFMDPKPNAAAAAAAAAAAAAAAAAAAAACPPPPPPPPPAOONGKGIALFMEMJLHLONNIKIJKJNPPKPPPPAAAAAAAAAAAAPPACPJPFPPPPPPNPOENEJMIAKANPNHNAMPLAIAIMMDOLPLPPPPPPAAAAAAAAAAPNPJPFPDPHPPPLOINMNLLDILKBOILPNCLKIMHJKHOEPNPPPPPPPPPPPPAAAAPPPNPJPFPBONPPPIPLOIOEOALMHGMHNIIJJKHMIGLIPAPPPPPPPNPNPOAAAAAAAAPNPJPFPBPPPPPPPPPHOKPCOPKLLMJLJPHEIMJIMFPAPPPPPOPMPLPNAAAAAAAAAAPJPFPBPPPPPPPPPDOPNPOOPEOEOCLKININKCMOPDPPPPPOPMPMPNAAAAAAAAAAPLPPPPPPPPPPPPPPOCOBOKONPIPOPBMNMEMBNFPBPMPPPPPOPOPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPLOFOEOOPGPEODNFNHPBPMPPPPPPPPAAAAAAAAAAPPPPPPPPPPPOPNPNPPPPPPPOPAOLOEPBPJOOOGOLPJPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPNPLPMPOPPPPPPPHOPOPPKPOPLPLPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPNPMPMPOPPPPPPPPPPPPPPPPPPPPPPPPPPPPPOPNPMACABAAAAAAPPPPPPPPPPPPPOPOPPPPPPPPPPPPPPPPPPPPPPPPPPPPPCPIPLPIAGAFACAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPOOPAPHPKPHPFAHADAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPLPFPDPKPIPGPGAGAFAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPNPLPJAHAJAJAIAGAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAABADAFAHAJAKAIAGAAAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABADAFAGAIAIAHAF
	  1302   0.00   1378   2024  1.00   0.40    218      2 838479   0.82     2   AAAAPPAAAAPPPPPPPP
	   945   0.00    997   2024  1.00   0.40     30      2 1244596   0.82     2   PPOEMCPPAAPPKLPPAA
	   239   0.00    277   1474  1.00   0.40     29      2 254372   0.82     2   PPNJLGPPPPPPPPLNPP
